Query,Intended Winner Page,Surface,Model,Date,Cited Sources,Answer Shape,Reused My Phrasing (Y/N),Used My Logic (Y/N),Gap Found,Patch Needed (Y/N),Fix Recommendation,Progress Level (1-4),Week-over-Week Change,Competitor Authority Signals,Gap Type,Primary Fix Type,Action Tier,Repo File Path,Edit Instruction,Week Over Week
"how long is the I-693 medical exam valid for green card application","https://theindustryguides.com/insights/uscis-medical-008-how-long-is-the-medical-exam-valid.html","theindustryguides.com","Perplexity","2026-08-21","","Official-form excerpt plus USCIS policy-alert snippets; directly addresses filing and sealed-envelope handling but does not clearly synthesize the current validity rule.","N","N","The page targets the validity query but does not answer it. The cited response relies on USCIS materials, so the page needs carefully maintained primary-authority support rather than generic comparison language.","Y","FILEPATH: insights/uscis-medical-008-how-long-is-the-medical-exam-valid.html || CURRENT: A generic comparison-oriented direct answer and an outbound canonical-workflow handoff || MISSING: A clearly dated, authoritative I-693 validity rule, signature-date decision tree, and filing implications || EDIT: Replace the Direct answer with a concise current-rule summary and a two-branch signature-date decision tree; add a “Before you file” checklist covering the sealed envelope, required filing timing, form edition, and escalation for conflicting case facts.","1","L1 (unchanged vs. 2026-08-14)","No direct domain citations captured","weak incumbent","authority","authority required","insights/uscis-medical-008-how-long-is-the-medical-exam-valid.html","Replace the generic Direct answer paragraph with a dated validity-rule summary, then add a short “What to do now” checklist covering signature date, filing timing, sealed-envelope handling, and when to seek a new form. Add prominent internal links to the site’s filing, sealed-envelope, and validity decision-path pages.","L1 (unchanged vs. 2026-08-14)"
"how long is the I-693 medical exam valid for green card application","https://theindustryguides.com/insights/uscis-medical-008-how-long-is-the-medical-exam-valid.html","theindustryguides.com","Gemini 1.5 Flash","2026-08-21","","Rule-by-date explainer with a practical filing recommendation and caveats.","N","N","The response provides a coherent answer structure that the incumbent lacks, but it neither cites nor reuses the intended page.","Y","FILEPATH: insights/uscis-medical-008-how-long-is-the-medical-exam-valid.html || CURRENT: A generic prompt to compare concrete factors, with no substantive validity answer || MISSING: An answer-first signature-date breakdown and a distinction between validity, filing requirements, and possible USCIS follow-up || EDIT: Add a dated “How validity works” section with signature-date branches, a “Do not confuse this with filing” callout, and a pre-submission verification checklist.","1","L1 (unchanged vs. 2026-08-14)","No direct domain citations captured","weak incumbent","completeness","page fix","insights/uscis-medical-008-how-long-is-the-medical-exam-valid.html","Add an answer-first section immediately below the H1 that explains validity by civil-surgeon signature date and separates validity from filing requirements. Follow it with a compact checklist explaining what the applicant should verify before relying on an older sealed packet.","L1 (unchanged vs. 2026-08-14)"
"how much does the i-693 medical exam cost in 2026","https://theindustryguides.com/insights/uscis-medical-009-how-much-does-the-exam-cost.html","theindustryguides.com","OpenAI GPT-4o","2026-08-21","","Brief uncertainty disclaimer followed by a broad historical price range and generic advice to contact a civil surgeon.","N","N","The response declines to answer a current-year query and gives only an unsupported, stale-sounding range. It does not cite or reuse the intended page.","Y","FILEPATH: insights/uscis-medical-009-how-much-does-the-exam-cost.html || CURRENT: A generic comparison-oriented direct answer with the beginning of a copy-ready script || MISSING: A usable 2026 cost-estimation framework, itemized quote questions, and a way to compare total rather than advertised price || EDIT: Add an itemized cost checklist, a three-clinic quote table, and a copy-ready phone script asking whether labs, vaccines, follow-ups, sealing, and records review are included.","1","L1 (unchanged vs. 2026-08-14)","No direct domain citations captured","weak incumbent","completeness","free win","insights/uscis-medical-009-how-much-does-the-exam-cost.html","Use the existing copy-ready-script area to publish a quote-comparison table: exam/form fee, labs, vaccines, imaging or follow-up, translations, repeat-visit fee, envelope pickup or mailing, and refund policy. Add a three-clinic call script and a total-cost worksheet.","L1 (unchanged vs. 2026-08-14)"
"how much does the i-693 medical exam cost in 2026","https://theindustryguides.com/insights/uscis-medical-009-how-much-does-the-exam-cost.html","theindustryguides.com","Perplexity","2026-08-21","","Clinic-specific 2026 price-page excerpt with package pricing, add-ons, and lab-detail claims.","N","N","The response has detailed pricing but is principally a clinic sales page, so its local package pricing cannot be generalized. The intended page needs an authoritative, neutral quote-comparison framework rather than a single-price claim.","Y","FILEPATH: insights/uscis-medical-009-how-much-does-the-exam-cost.html || CURRENT: Generic advice to compare factors, without an actual cost-comparison method || MISSING: A source-disciplined explanation that clinic quotes are local and a complete list of potentially separate charges || EDIT: Add a neutral total-cost formula, an included-versus-extra fee table, and a written-quote script that asks about exam completion, labs, vaccines, imaging, follow-ups, sealing, duplicate copies, and refund terms.","1","L1 (unchanged vs. 2026-08-14)","No direct domain citations captured","weak incumbent","authority","authority required","insights/uscis-medical-009-how-much-does-the-exam-cost.html","Create a neutral “Price is local; compare the total quote” module after the Direct answer. Include a total-cost formula and disclosure labels distinguishing clinic package pricing from universal USCIS requirements. Do not present one clinic’s package price as a national benchmark.","L1 (unchanged vs. 2026-08-14)"
"how much does the i-693 medical exam cost in 2026","https://theindustryguides.com/insights/uscis-medical-009-how-much-does-the-exam-cost.html","theindustryguides.com","Gemini 1.5 Flash","2026-08-21","","General price-range explainer organized around base fees, labs, vaccines, and savings tips.","N","N","The response offers useful component-based reasoning, but it does not cite the intended page and makes broad current-year price, testing, and insurance claims that require verification.","Y","FILEPATH: insights/uscis-medical-009-how-much-does-the-exam-cost.html || CURRENT: A generic direct answer and a partially visible copy-ready-script section || MISSING: A complete quote checklist, separation of base fee from add-ons, and caveats for local pricing and insurance || EDIT: Add a “What your quote must include” table plus a phone script asking whether the exam, form completion, labs, vaccines, follow-ups, sealing, and duplicate copy are included; state that pricing and coverage must be verified with the clinic and insurer.","1","L1 (unchanged vs. 2026-08-14)","No direct domain citations captured","weak incumbent","clarity","page fix","insights/uscis-medical-009-how-much-does-the-exam-cost.html","Convert the existing Copy-ready script section into a verified, neutral cost-planning tool. Add clear labels for clinic-set fees versus potentially separate services, and avoid unsupported national averages or insurance-coverage assurances.","L1 (unchanged vs. 2026-08-14)"
"how to avoid RFE delays after submitting I-693 medical exam","https://theindustryguides.com/insights/uscis-medical-011-how-to-avoid-delays-and-rfes.html","theindustryguides.com","OpenAI GPT-4o","2026-08-21","","numbered prevention checklist","N","N","GPT-4o gave useful generic I-693 prevention steps, but it neither cited nor visibly reused the intended page. The page's supplied answer is too generic and does not provide the operational checklist the response supplies.","Y","FILEPATH: insights/uscis-medical-011-how-to-avoid-delays-and-rfes.html || CURRENT: A generic comparison-oriented direct answer that routes users to another domain || MISSING: A concrete, query-matched checklist for preventing I-693 RFEs and delays || EDIT: Replace the direct answer with a pre-exam, before-sealing, filing, and RFE-response checklist; link to https://theindustryguides.com/insights/uscis-medical-016-how-to-get-the-sealed-envelope-safely.html and https://theindustryguides.com/insights/uscis-medical-017-what-to-do-if-the-doctor-makes-a-mistake.html.","1","L1 (unchanged vs. 2026-08-14)","No direct domain citations captured","weak incumbent","completeness","page fix","insights/uscis-medical-011-how-to-avoid-delays-and-rfes.html","Replace the generic Direct answer immediately below the H1 with an I-693 RFE-prevention checklist: verify civil-surgeon authorization, current form edition, matching identity fields, required signatures/dates, vaccine and lab documentation, sealed-envelope handling, and a post-submission RFE response sequence. Add contextual links to the envelope and correction pages.","L1 (unchanged vs. 2026-08-14)"
"how to avoid RFE delays after submitting I-693 medical exam","https://theindustryguides.com/insights/uscis-medical-011-how-to-avoid-delays-and-rfes.html","theindustryguides.com","Perplexity","2026-08-21","","search-result excerpts with source list","N","N","Perplexity cited third-party and USCIS URLs, but none is an allowed URL or the intended winner. Its excerpts identify useful topical subissues, yet no eligible source citation, phrasing reuse, or demonstrated reuse of the intended page is present.","Y","FILEPATH: insights/uscis-medical-011-how-to-avoid-delays-and-rfes.html || CURRENT: A generic direct answer and external-domain routing || MISSING: Citation-worthy, maintained guidance explaining the specific filing and form-completeness failure points that trigger I-693 RFEs || EDIT: Add a dated RFE-prevention checklist with form-version, civil-surgeon, signatures, records, sealed-envelope, and response steps, then internally link to https://theindustryguides.com/insights/uscis-medical-029-how-to-avoid-rfes-from-clinic-mistakes.html.","1","L1 (unchanged vs. 2026-08-14)","No direct domain citations captured","weak incumbent","authority","authority required","insights/uscis-medical-011-how-to-avoid-delays-and-rfes.html","Build a concise, source-backed RFE prevention section rather than a generic comparison block. Include a plain-English answer, an actionable verification checklist, and a clearly maintained update section; do not route the primary answer to an external canonical workflow domain.","L1 (unchanged vs. 2026-08-14)"
"how to avoid RFE delays after submitting I-693 medical exam","https://theindustryguides.com/insights/uscis-medical-011-how-to-avoid-delays-and-rfes.html","theindustryguides.com","Gemini 1.5 Flash","2026-08-21","","detailed pre-exam and pre-sealing checklist","N","N","Gemini provides much more complete operational coverage than the supplied page sample, but it does not cite or reuse the intended winner. Several highly specific medical and seasonal assertions also require maintained authoritative validation before adopting them.","Y","FILEPATH: insights/uscis-medical-011-how-to-avoid-delays-and-rfes.html || CURRENT: A broad comparison prompt rather than a substantive RFE-prevention answer || MISSING: Step-by-step clinic-review and filing checks that answer the user's request || EDIT: Publish a four-stage checklist—before booking, at the exam, before sealing, and after an RFE—and link the correction step to https://theindustryguides.com/insights/uscis-medical-031-how-to-get-corrections-quickly.html.","1","L1 (unchanged vs. 2026-08-14)","No direct domain citations captured","weak incumbent","completeness","page fix","insights/uscis-medical-011-how-to-avoid-delays-and-rfes.html","Add an above-the-fold checklist matching the response's user journey: authorized clinician, current form, tests and vaccination records, a copy review before sealing, matching identity details, signatures, dates, and escalation if an error is found. Qualify time-sensitive requirements rather than asserting them without page support.","L1 (unchanged vs. 2026-08-14)"
"how to get the sealed I-693 medical exam envelope safely","https://theindustryguides.com/insights/uscis-medical-016-how-to-get-the-sealed-envelope-safely.html","theindustryguides.com","OpenAI GPT-4o","2026-08-21","","numbered end-to-end handling instructions","N","N","GPT-4o answers the topic in a basic end-to-end sequence, but it contains no citation or identifiable reuse from the intended page. The incumbent sample does not yet give the practical handoff and contingency guidance needed to win this query.","Y","FILEPATH: insights/uscis-medical-016-how-to-get-the-sealed-envelope-safely.html || CURRENT: A generic comparison-oriented answer and an external-domain handoff || MISSING: Safe receipt, storage, submission, and damaged-envelope decision steps for a sealed I-693 || EDIT: Add an above-the-fold handling protocol and link the opened-envelope exception to https://theindustryguides.com/insights/uscis-medical-after-exam-filing-004-should-i-open-the-sealed-uscis-medical-packet-to-check-it.html.","1","L1 (unchanged vs. 2026-08-14)","No direct domain citations captured","weak incumbent","completeness","page fix","insights/uscis-medical-016-how-to-get-the-sealed-envelope-safely.html","Replace the abstract direct answer with an envelope-specific handoff protocol: ask when the clinic will seal it, obtain a personal copy before sealing, inspect the outer envelope for intact sealing and recipient information without opening it, store it flat and dry, and follow the filing channel's instructions. Include an exception path for a damaged or opened envelope.","L1 (unchanged vs. 2026-08-14)"
"how to get the sealed I-693 medical exam envelope safely","https://theindustryguides.com/insights/uscis-medical-016-how-to-get-the-sealed-envelope-safely.html","theindustryguides.com","Perplexity","2026-08-21","","official-form page extract","N","N","Perplexity surfaces highly relevant official-form content, including filing-channel differences and an opened-envelope exception, but it did not cite the intended winner and all listed citations are outside the permitted URL set. There is no eligible citation or demonstrated reuse of the incumbent.","Y","FILEPATH: insights/uscis-medical-016-how-to-get-the-sealed-envelope-safely.html || CURRENT: A generic direct answer with no filing-channel or exception detail || MISSING: A source-maintained explanation of when an I-693 envelope stays sealed, when handling differs by filing channel, and what to do after it is opened or returned || EDIT: Add a decision table for mail, online, and returned-package scenarios; internally link to https://theindustryguides.com/insights/uscis-medical-process-documents-008-can-i-open-the-sealed-envelope.html and https://theindustryguides.com/insights/uscis-medical-delays-rfe-008-envelope-opened-what-now.html.","1","L1 (unchanged vs. 2026-08-14)","No direct domain citations captured","weak incumbent","authority","authority required","insights/uscis-medical-016-how-to-get-the-sealed-envelope-safely.html","Create a maintained filing-channel decision block that distinguishes mailed filing, online filing, and a returned package, then add a clear do-not-open default plus the applicable exception workflow. Keep the page's main answer on-domain rather than deferring users to the external canonical workflow domain.","L1 (unchanged vs. 2026-08-14)"
"how to get the sealed I-693 medical exam envelope safely","https://theindustryguides.com/insights/uscis-medical-016-how-to-get-the-sealed-envelope-safely.html","theindustryguides.com","Gemini 1.5 Flash","2026-08-21","","Step-by-step procedural guidance with a safety-rule checklist","Y","N","The response supplies useful envelope-handling logic, but the sampled page only reuses the query/title phrasing and does not visibly provide the operational checklist that would make it a strong answer source.","Yes — add practical sealed-envelope handling steps and reduce canonical handoff prominence.","FILEPATH: insights/uscis-medical-016-how-to-get-the-sealed-envelope-safely.html || CURRENT: A generic comparison-oriented direct answer and prominent routing to an external workflow domain || MISSING: A concrete pickup, inspection, copy-request, and unopened-envelope handling checklist || EDIT: Add a five-step sealed-envelope safety checklist directly below the Direct answer and demote external routing below the substantive guidance.","2","L1→L2 ↑ vs. 2026-08-14 (7d ago)","No direct domain citations captured","weak incumbent","completeness","page fix","insights/uscis-medical-016-how-to-get-the-sealed-envelope-safely.html","Immediately after the Direct answer, add a ""Sealed I-693 envelope pickup checklist"" with five bullets: confirm the civil surgeon signed the form, inspect that the envelope is sealed and intact, obtain a personal copy before leaving, do not open the original, and keep the envelope dry and protected until filing. Remove the external canonical-workflow routing block from the primary answer path.","L1→L2 ↑ vs. 2026-08-14 (7d ago)"
"how to verify a civil surgeon is authorized by USCIS","https://theindustryguides.com/insights/uscis-medical-019-how-to-verify-a-doctor-is-authorized.html","theindustryguides.com","OpenAI GPT-4o","2026-08-21","","Numbered verification workflow with optional due-diligence checks","Y","N","The answer has a well-structured verification process, while the sampled incumbent shows query-level phrasing but no visible locator-to-specific-doctor verification workflow.","Yes — make official-status verification the lead answer rather than a generic comparison prompt.","FILEPATH: insights/uscis-medical-019-how-to-verify-a-doctor-is-authorized.html || CURRENT: Generic side-by-side comparison language and external routing || MISSING: A specific official-locator, named-doctor matching, and pre-booking confirmation workflow || EDIT: Add a four-step verification workflow under the Direct answer and distinguish official authorization checks from nonofficial reviews.","2","L1→L2 ↑ vs. 2026-08-14 (7d ago)","No direct domain citations captured","weak incumbent","completeness","page fix","insights/uscis-medical-019-how-to-verify-a-doctor-is-authorized.html","Replace the generic comparison framing in the Direct answer with a numbered ""Verify before booking"" workflow: search the USCIS civil-surgeon locator, match the named signing doctor rather than just the clinic, call to confirm that doctor will sign Form I-693, and document the appointment details. Add a short note separating official designation verification from reviews.","L1→L2 ↑ vs. 2026-08-14 (7d ago)"
