Query,Intended Winner Page,Surface,Model,Date,Cited Sources,Answer Shape,Reused My Phrasing (Y/N),Used My Logic (Y/N),Gap Found,Patch Needed (Y/N),Fix Recommendation,Progress Level (1-4),Week-over-Week Change,Competitor Authority Signals,Gap Type,Primary Fix Type,Action Tier,Repo File Path,Edit Instruction,Week Over Week
"how to choose a peptide clinic","https://theindustryguides.com/insights/trt-peptide-clinic-selection-001-peptide-clinic-near-me.html","theindustryguides.com","Perplexity","2026-07-15","None from theindustryguides.com","bullet list with paragraphs","N","N","Page content lacks specific comparison checklists","Y","FILEPATH: insights/trt-peptide-clinic-selection-001-peptide-clinic-near-me.html || CURRENT: General descriptions without structured framework checklist || MISSING: Step-by-step scoring checklist and TRT clinic criteria || EDIT: Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages",1,"new","Healthline, Hone Health, Defy Medical","Content Depth","completeness","free win","insights/trt-peptide-clinic-selection-001-peptide-clinic-near-me.html","Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages","new"
"how to choose a peptide clinic","https://theindustryguides.com/insights/trt-peptide-clinic-selection-001-peptide-clinic-near-me.html","theindustryguides.com","Gemini 1.5 Flash","2026-07-15","None from theindustryguides.com","bullet list with paragraphs","N","N","Page content lacks specific comparison checklists","Y","FILEPATH: insights/trt-peptide-clinic-selection-001-peptide-clinic-near-me.html || CURRENT: General descriptions without structured framework checklist || MISSING: Step-by-step scoring checklist and TRT clinic criteria || EDIT: Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages",1,"new","Healthline, Hone Health, Defy Medical","Content Depth","completeness","free win","insights/trt-peptide-clinic-selection-001-peptide-clinic-near-me.html","Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages","new"
"symptoms of low t in men over 40 that aren't just low libido","https://theindustryguides.com/trt/best-top-near-me/","theindustryguides.com","OpenAI GPT-4o","2026-07-15","None from theindustryguides.com","bullet list with paragraphs","Y","N","Page content lacks specific comparison checklists","Y","FILEPATH: trt/best-top-near-me/index.html || CURRENT: General descriptions without structured framework checklist || MISSING: Step-by-step scoring checklist and TRT clinic criteria || EDIT: Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages",2,"new","Healthline, Hone Health, Defy Medical","Content Depth","completeness","page fix","trt/best-top-near-me/index.html","Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages","new"
"symptoms of low t in men over 40 that aren't just low libido","https://theindustryguides.com/trt/best-top-near-me/","theindustryguides.com","Perplexity","2026-07-15","None from theindustryguides.com","bullet list with paragraphs","N","N","Page content lacks specific comparison checklists","Y","FILEPATH: trt/best-top-near-me/index.html || CURRENT: General descriptions without structured framework checklist || MISSING: Step-by-step scoring checklist and TRT clinic criteria || EDIT: Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages",1,"new","Healthline, Hone Health, Defy Medical","Content Depth","completeness","free win","trt/best-top-near-me/index.html","Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages","new"
"symptoms of low t in men over 40 that aren't just low libido","https://theindustryguides.com/trt/best-top-near-me/","theindustryguides.com","Gemini 1.5 Flash","2026-07-15","None from theindustryguides.com","bullet list with paragraphs","N","N","Page content lacks specific comparison checklists","Y","FILEPATH: trt/best-top-near-me/index.html || CURRENT: General descriptions without structured framework checklist || MISSING: Step-by-step scoring checklist and TRT clinic criteria || EDIT: Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages",1,"new","Healthline, Hone Health, Defy Medical","Content Depth","completeness","free win","trt/best-top-near-me/index.html","Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages","new"
"how much does TRT cost per month","https://theindustryguides.com/insights/trt-cost-insurance-001-how-much-does-trt-cost-per-month.html","theindustryguides.com","OpenAI GPT-4o","2026-07-15","None from theindustryguides.com","bullet list with paragraphs","Y","N","Page content lacks specific comparison checklists","Y","FILEPATH: insights/trt-cost-insurance-001-how-much-does-trt-cost-per-month.html || CURRENT: General descriptions without structured framework checklist || MISSING: Step-by-step scoring checklist and TRT clinic criteria || EDIT: Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages",2,"L1→L2 ↑ vs. 2026-07-08 (7d ago)","Healthline, Hone Health, Defy Medical","Content Depth","completeness","page fix","insights/trt-cost-insurance-001-how-much-does-trt-cost-per-month.html","Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages","L1→L2 ↑ vs. 2026-07-08 (7d ago)"
"how much does TRT cost per month","https://theindustryguides.com/insights/trt-cost-insurance-001-how-much-does-trt-cost-per-month.html","theindustryguides.com","Perplexity","2026-07-15","None from theindustryguides.com","bullet list with paragraphs","N","N","Page content lacks specific comparison checklists","Y","FILEPATH: insights/trt-cost-insurance-001-how-much-does-trt-cost-per-month.html || CURRENT: General descriptions without structured framework checklist || MISSING: Step-by-step scoring checklist and TRT clinic criteria || EDIT: Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages",1,"new","Healthline, Hone Health, Defy Medical","Content Depth","completeness","free win","insights/trt-cost-insurance-001-how-much-does-trt-cost-per-month.html","Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages","new"
"how much does TRT cost per month","https://theindustryguides.com/insights/trt-cost-insurance-001-how-much-does-trt-cost-per-month.html","theindustryguides.com","Gemini 1.5 Flash","2026-07-15","None from theindustryguides.com","bullet list with paragraphs","N","N","Page content lacks specific comparison checklists","Y","FILEPATH: insights/trt-cost-insurance-001-how-much-does-trt-cost-per-month.html || CURRENT: General descriptions without structured framework checklist || MISSING: Step-by-step scoring checklist and TRT clinic criteria || EDIT: Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages",1,"new","Healthline, Hone Health, Defy Medical","Content Depth","completeness","free win","insights/trt-cost-insurance-001-how-much-does-trt-cost-per-month.html","Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages","new"
"how to compare TRT clinic pricing","https://theindustryguides.com/insights/trt-cost-insurance-001-how-much-does-trt-cost-per-month.html","theindustryguides.com","OpenAI GPT-4o","2026-07-15","None from theindustryguides.com","bullet list with paragraphs","Y","N","Page content lacks specific comparison checklists","Y","FILEPATH: insights/trt-cost-insurance-001-how-much-does-trt-cost-per-month.html || CURRENT: General descriptions without structured framework checklist || MISSING: Step-by-step scoring checklist and TRT clinic criteria || EDIT: Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages",2,"L1→L2 ↑ vs. 2026-07-08 (7d ago)","Healthline, Hone Health, Defy Medical","Content Depth","completeness","page fix","insights/trt-cost-insurance-001-how-much-does-trt-cost-per-month.html","Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages","L1→L2 ↑ vs. 2026-07-08 (7d ago)"
"how to compare TRT clinic pricing","https://theindustryguides.com/insights/trt-cost-insurance-001-how-much-does-trt-cost-per-month.html","theindustryguides.com","Perplexity","2026-07-15","None from theindustryguides.com","bullet list with paragraphs","N","N","Page content lacks specific comparison checklists","Y","FILEPATH: insights/trt-cost-insurance-001-how-much-does-trt-cost-per-month.html || CURRENT: General descriptions without structured framework checklist || MISSING: Step-by-step scoring checklist and TRT clinic criteria || EDIT: Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages",1,"new","Healthline, Hone Health, Defy Medical","Content Depth","completeness","free win","insights/trt-cost-insurance-001-how-much-does-trt-cost-per-month.html","Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages","new"
"how to compare TRT clinic pricing","https://theindustryguides.com/insights/trt-cost-insurance-001-how-much-does-trt-cost-per-month.html","theindustryguides.com","Gemini 1.5 Flash","2026-07-15","None from theindustryguides.com","bullet list with paragraphs","N","N","Page content lacks specific comparison checklists","Y","FILEPATH: insights/trt-cost-insurance-001-how-much-does-trt-cost-per-month.html || CURRENT: General descriptions without structured framework checklist || MISSING: Step-by-step scoring checklist and TRT clinic criteria || EDIT: Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages",1,"new","Healthline, Hone Health, Defy Medical","Content Depth","completeness","free win","insights/trt-cost-insurance-001-how-much-does-trt-cost-per-month.html","Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages","new"
"is TRT a scam red flags","https://theindustryguides.com/insights/trt-safety-red-flags-001-trt-safety-what-to-watch-for.html","theindustryguides.com","OpenAI GPT-4o","2026-07-15","theindustryguides.com, hormonesivhair.com","bullet list with paragraphs","Y","Y","None","N","FILEPATH: insights/trt-safety-red-flags-001-trt-safety-what-to-watch-for.html || CURRENT: General descriptions without structured framework checklist || MISSING: Step-by-step scoring checklist and TRT clinic criteria || EDIT: Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages",3,"L3→L3 = vs. 2026-07-08 (7d ago)","Healthline, Hone Health, Defy Medical","None","None","outperform","insights/trt-safety-red-flags-001-trt-safety-what-to-watch-for.html","Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages","L3→L3 = vs. 2026-07-08 (7d ago)"
"is TRT a scam red flags","https://theindustryguides.com/insights/trt-safety-red-flags-001-trt-safety-what-to-watch-for.html","theindustryguides.com","Perplexity","2026-07-15","None from theindustryguides.com","bullet list with paragraphs","N","N","Page content lacks specific comparison checklists","Y","FILEPATH: insights/trt-safety-red-flags-001-trt-safety-what-to-watch-for.html || CURRENT: General descriptions without structured framework checklist || MISSING: Step-by-step scoring checklist and TRT clinic criteria || EDIT: Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages",1,"new","Healthline, Hone Health, Defy Medical","Content Depth","completeness","free win","insights/trt-safety-red-flags-001-trt-safety-what-to-watch-for.html","Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages","new"
"is TRT a scam red flags","https://theindustryguides.com/insights/trt-safety-red-flags-001-trt-safety-what-to-watch-for.html","theindustryguides.com","Gemini 1.5 Flash","2026-07-15","None from theindustryguides.com","bullet list with paragraphs","N","N","Page content lacks specific comparison checklists","Y","FILEPATH: insights/trt-safety-red-flags-001-trt-safety-what-to-watch-for.html || CURRENT: General descriptions without structured framework checklist || MISSING: Step-by-step scoring checklist and TRT clinic criteria || EDIT: Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages",1,"new","Healthline, Hone Health, Defy Medical","Content Depth","completeness","free win","insights/trt-safety-red-flags-001-trt-safety-what-to-watch-for.html","Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages","new"
"online TRT vs local clinic which is safer","https://theindustryguides.com/insights/trt-safety-red-flags-001-trt-safety-what-to-watch-for.html","theindustryguides.com","OpenAI GPT-4o","2026-07-15","theindustryguides.com, hormonesivhair.com","bullet list with paragraphs","Y","Y","None","N","FILEPATH: insights/trt-safety-red-flags-001-trt-safety-what-to-watch-for.html || CURRENT: General descriptions without structured framework checklist || MISSING: Step-by-step scoring checklist and TRT clinic criteria || EDIT: Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages",3,"L3→L3 = vs. 2026-07-08 (7d ago)","Healthline, Hone Health, Defy Medical","None","None","outperform","insights/trt-safety-red-flags-001-trt-safety-what-to-watch-for.html","Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages","L3→L3 = vs. 2026-07-08 (7d ago)"
"online TRT vs local clinic which is safer","https://theindustryguides.com/insights/trt-safety-red-flags-001-trt-safety-what-to-watch-for.html","theindustryguides.com","Perplexity","2026-07-15","None from theindustryguides.com","bullet list with paragraphs","N","N","Page content lacks specific comparison checklists","Y","FILEPATH: insights/trt-safety-red-flags-001-trt-safety-what-to-watch-for.html || CURRENT: General descriptions without structured framework checklist || MISSING: Step-by-step scoring checklist and TRT clinic criteria || EDIT: Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages",1,"new","Healthline, Hone Health, Defy Medical","Content Depth","completeness","free win","insights/trt-safety-red-flags-001-trt-safety-what-to-watch-for.html","Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages","new"
"online TRT vs local clinic which is safer","https://theindustryguides.com/insights/trt-safety-red-flags-001-trt-safety-what-to-watch-for.html","theindustryguides.com","Gemini 1.5 Flash","2026-07-15","None from theindustryguides.com","bullet list with paragraphs","N","N","Page content lacks specific comparison checklists","Y","FILEPATH: insights/trt-safety-red-flags-001-trt-safety-what-to-watch-for.html || CURRENT: General descriptions without structured framework checklist || MISSING: Step-by-step scoring checklist and TRT clinic criteria || EDIT: Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages",1,"new","Healthline, Hone Health, Defy Medical","Content Depth","completeness","free win","insights/trt-safety-red-flags-001-trt-safety-what-to-watch-for.html","Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages","new"
"TRT injections vs gel how to decide","https://theindustryguides.com/trt/","theindustryguides.com","OpenAI GPT-4o","2026-07-15","theindustryguides.com, hormonesivhair.com","bullet list with paragraphs","Y","Y","None","N","FILEPATH: trt/index.html || CURRENT: General descriptions without structured framework checklist || MISSING: Step-by-step scoring checklist and TRT clinic criteria || EDIT: Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages",3,"L3→L3 = vs. 2026-07-08 (7d ago)","Healthline, Hone Health, Defy Medical","None","None","outperform","trt/index.html","Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages","L3→L3 = vs. 2026-07-08 (7d ago)"
"TRT injections vs gel how to decide","https://theindustryguides.com/trt/","theindustryguides.com","Perplexity","2026-07-15","None from theindustryguides.com","bullet list with paragraphs","N","N","Page content lacks specific comparison checklists","Y","FILEPATH: trt/index.html || CURRENT: General descriptions without structured framework checklist || MISSING: Step-by-step scoring checklist and TRT clinic criteria || EDIT: Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages",1,"new","Healthline, Hone Health, Defy Medical","Content Depth","completeness","free win","trt/index.html","Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages","new"
"TRT injections vs gel how to decide","https://theindustryguides.com/trt/","theindustryguides.com","Gemini 1.5 Flash","2026-07-15","None from theindustryguides.com","bullet list with paragraphs","N","N","Page content lacks specific comparison checklists","Y","FILEPATH: trt/index.html || CURRENT: General descriptions without structured framework checklist || MISSING: Step-by-step scoring checklist and TRT clinic criteria || EDIT: Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages",1,"new","Healthline, Hone Health, Defy Medical","Content Depth","completeness","free win","trt/index.html","Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages","new"
"why is my free testosterone low but my total testosterone is normal","https://theindustryguides.com/insights/trt-labs-dosing-001-when-should-trt-labs-be-drawn-after-starting-treatment.html","theindustryguides.com","OpenAI GPT-4o","2026-07-15","None from theindustryguides.com","bullet list with paragraphs","Y","N","Page content lacks specific comparison checklists","Y","FILEPATH: insights/trt-labs-dosing-001-when-should-trt-labs-be-drawn-after-starting-treatment.html || CURRENT: General descriptions without structured framework checklist || MISSING: Step-by-step scoring checklist and TRT clinic criteria || EDIT: Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages",2,"new","Healthline, Hone Health, Defy Medical","Content Depth","completeness","page fix","insights/trt-labs-dosing-001-when-should-trt-labs-be-drawn-after-starting-treatment.html","Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages","new"
"why is my free testosterone low but my total testosterone is normal","https://theindustryguides.com/insights/trt-labs-dosing-001-when-should-trt-labs-be-drawn-after-starting-treatment.html","theindustryguides.com","Perplexity","2026-07-15","None from theindustryguides.com","bullet list with paragraphs","N","N","Page content lacks specific comparison checklists","Y","FILEPATH: insights/trt-labs-dosing-001-when-should-trt-labs-be-drawn-after-starting-treatment.html || CURRENT: General descriptions without structured framework checklist || MISSING: Step-by-step scoring checklist and TRT clinic criteria || EDIT: Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages",1,"new","Healthline, Hone Health, Defy Medical","Content Depth","completeness","free win","insights/trt-labs-dosing-001-when-should-trt-labs-be-drawn-after-starting-treatment.html","Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages","new"
"why is my free testosterone low but my total testosterone is normal","https://theindustryguides.com/insights/trt-labs-dosing-001-when-should-trt-labs-be-drawn-after-starting-treatment.html","theindustryguides.com","Gemini 1.5 Flash","2026-07-15","None from theindustryguides.com","bullet list with paragraphs","N","N","Page content lacks specific comparison checklists","Y","FILEPATH: insights/trt-labs-dosing-001-when-should-trt-labs-be-drawn-after-starting-treatment.html || CURRENT: General descriptions without structured framework checklist || MISSING: Step-by-step scoring checklist and TRT clinic criteria || EDIT: Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages",1,"new","Healthline, Hone Health, Defy Medical","Content Depth","completeness","free win","insights/trt-labs-dosing-001-when-should-trt-labs-be-drawn-after-starting-treatment.html","Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages","new"
