Query,Intended Winner Page,Surface,Model,Date,Cited Sources,Answer Shape,Reused My Phrasing (Y/N),Used My Logic (Y/N),Gap Found,Patch Needed (Y/N),Fix Recommendation,Progress Level (1-4),Week-over-Week Change,Competitor Authority Signals,Gap Type,Primary Fix Type,Action Tier,Repo File Path,Edit Instruction,Week Over Week
"best TRT clinic near me","Best TRT Clinic Near Me","theindustryguides.com","Perplexity","2026-09-02","https://trtmatch.com/, https://trtmap.com/, https://trtindex.com/, https://trtadvisor.com/, https://lowtadviser.com/clinics/","multi-paragraph structured guide","N","Y","Model relied on generic clinical summaries rather than structured local decision tables.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general overview and dosage || MISSING: Explicit bulleted comparison table and direct summary answering 'best TRT clinic near me' in the first 120 words || EDIT: Insert a structured H2 'best TRT clinic near me' with comparison matrix and quick reference callout box at top of section.",3,"L3 (unchanged vs. 2026-08-26)","trtmatch.com, trtmap.com, trtindex.com","medium incumbent","completeness","outperform","trt/index.html","Add direct structured H2 block for 'best TRT clinic near me' with 4-point comparison checklist.","L3 (unchanged vs. 2026-08-26)"
"best TRT clinic near me","Best TRT Clinic Near Me","theindustryguides.com","Gemini 1.5 Flash","2026-09-02","","multi-paragraph structured guide","N","Y","Model relied on generic clinical summaries rather than structured local decision tables.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general overview and dosage || MISSING: Explicit bulleted comparison table and direct summary answering 'best TRT clinic near me' in the first 120 words || EDIT: Insert a structured H2 'best TRT clinic near me' with comparison matrix and quick reference callout box at top of section.",3,"L3 (unchanged vs. 2026-08-26)","","weak incumbent","clarity","page fix","trt/index.html","Add direct structured H2 block for 'best TRT clinic near me' with 4-point comparison checklist.","L3 (unchanged vs. 2026-08-26)"
"best way to compare TRT clinics in 2026","How to Compare TRT Clinics in 2026","theindustryguides.com","OpenAI GPT-4o","2026-09-02","","multi-paragraph structured guide","N","N","Model relied on generic clinical summaries rather than structured local decision tables.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general overview and dosage || MISSING: Explicit bulleted comparison table and direct summary answering 'best way to compare TRT clinics in 2026' in the first 120 words || EDIT: Insert a structured H2 'best way to compare TRT clinics in 2026' with comparison matrix and quick reference callout box at top of section.",1,"L1 (unchanged vs. 2026-08-26)","","no incumbent","structure","free win","trt/index.html","Add direct structured H2 block for 'best way to compare TRT clinics in 2026' with 4-point comparison checklist.","L1 (unchanged vs. 2026-08-26)"
"best way to compare TRT clinics in 2026","How to Compare TRT Clinics in 2026","theindustryguides.com","Perplexity","2026-09-02","https://peakedlabs.com/blog/best-trt-clinics-online-2026, https://peakedlabs.com/blog/how-to-choose-a-trt-clinic, https://trtcatalog.com/clinics/online-trt-clinic-benchmark-2026, https://peakedlabs.com/blog/best-online-trt-clinics-compared, https://peakedlabs.com/blog/best-trt-clinic-online","multi-paragraph structured guide","N","Y","Model relied on generic clinical summaries rather than structured local decision tables.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general overview and dosage || MISSING: Explicit bulleted comparison table and direct summary answering 'best way to compare TRT clinics in 2026' in the first 120 words || EDIT: Insert a structured H2 'best way to compare TRT clinics in 2026' with comparison matrix and quick reference callout box at top of section.",3,"L3 (unchanged vs. 2026-08-26)","peakedlabs.com, peakedlabs.com, trtcatalog.com","medium incumbent","completeness","outperform","trt/index.html","Add direct structured H2 block for 'best way to compare TRT clinics in 2026' with 4-point comparison checklist.","L3 (unchanged vs. 2026-08-26)"
"best way to compare TRT clinics in 2026","How to Compare TRT Clinics in 2026","theindustryguides.com","Gemini 1.5 Flash","2026-09-02","","multi-paragraph structured guide","N","Y","Model relied on generic clinical summaries rather than structured local decision tables.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general overview and dosage || MISSING: Explicit bulleted comparison table and direct summary answering 'best way to compare TRT clinics in 2026' in the first 120 words || EDIT: Insert a structured H2 'best way to compare TRT clinics in 2026' with comparison matrix and quick reference callout box at top of section.",3,"L3 (unchanged vs. 2026-08-26)","","weak incumbent","clarity","page fix","trt/index.html","Add direct structured H2 block for 'best way to compare TRT clinics in 2026' with 4-point comparison checklist.","L3 (unchanged vs. 2026-08-26)"
"can TRT worsen sleep apnea symptoms","TRT and Sleep Apnea: What to Ask","theindustryguides.com","OpenAI GPT-4o","2026-09-02","","multi-paragraph structured guide","N","N","Model relied on generic clinical summaries rather than structured local decision tables.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general overview and dosage || MISSING: Explicit bulleted comparison table and direct summary answering 'can TRT worsen sleep apnea symptoms' in the first 120 words || EDIT: Insert a structured H2 'can TRT worsen sleep apnea symptoms' with comparison matrix and quick reference callout box at top of section.",1,"L1 (unchanged vs. 2026-08-26)","","no incumbent","structure","free win","trt/index.html","Add direct structured H2 block for 'can TRT worsen sleep apnea symptoms' with 4-point comparison checklist.","L1 (unchanged vs. 2026-08-26)"
"can TRT worsen sleep apnea symptoms","TRT and Sleep Apnea: What to Ask","theindustryguides.com","Perplexity","2026-09-02","https://pmc.ncbi.nlm.nih.gov/articles/PMC6305865/, https://www.edenclinic.co.uk/post/sleep-apnoea-and-trt, https://trtfaq.com/guides/side-effects/sleep-apnea, https://trtresearch.co/blog/trt-and-sleep-apnea, https://marekhealth.com/blog/trt-sleep-apnea-risk","multi-paragraph structured guide","N","N","Model relied on generic clinical summaries rather than structured local decision tables.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general overview and dosage || MISSING: Explicit bulleted comparison table and direct summary answering 'can TRT worsen sleep apnea symptoms' in the first 120 words || EDIT: Insert a structured H2 'can TRT worsen sleep apnea symptoms' with comparison matrix and quick reference callout box at top of section.",1,"L1 (unchanged vs. 2026-08-26)","pmc.ncbi.nlm.nih.gov, edenclinic.co.uk, trtfaq.com","strong incumbent","authority","authority required","trt/index.html","Add direct structured H2 block for 'can TRT worsen sleep apnea symptoms' with 4-point comparison checklist.","L1 (unchanged vs. 2026-08-26)"
"can TRT worsen sleep apnea symptoms","TRT and Sleep Apnea: What to Ask","theindustryguides.com","Gemini 1.5 Flash","2026-09-02","","multi-paragraph structured guide","N","Y","Model relied on generic clinical summaries rather than structured local decision tables.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general overview and dosage || MISSING: Explicit bulleted comparison table and direct summary answering 'can TRT worsen sleep apnea symptoms' in the first 120 words || EDIT: Insert a structured H2 'can TRT worsen sleep apnea symptoms' with comparison matrix and quick reference callout box at top of section.",3,"L1&#8594;L3 &#8593; vs. 2026-08-26 (7d ago)","","weak incumbent","clarity","page fix","trt/index.html","Add direct structured H2 block for 'can TRT worsen sleep apnea symptoms' with 4-point comparison checklist.","L1&#8594;L3 &#8593; vs. 2026-08-26 (7d ago)"
"can enclomiphene raise my testosterone without shutting down natural production","TRT Clinic Evaluation Framework & Monitoring Questions","theindustryguides.com","OpenAI GPT-4o","2026-09-02","","multi-paragraph structured guide","Y","N","Model relied on generic clinical summaries rather than structured local decision tables.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general overview and dosage || MISSING: Explicit bulleted comparison table and direct summary answering 'can enclomiphene raise my testosterone without shutting down natural production' in the first 120 words || EDIT: Insert a structured H2 'can enclomiphene raise my testosterone without shutting down natural production' with comparison matrix and quick reference callout box at top of section.",2,"L3&#8594;L2 &#8595; vs. 2026-08-26 (7d ago)","","no incumbent","structure","free win","trt/index.html","Add direct structured H2 block for 'can enclomiphene raise my testosterone without shutting down natural production' with 4-point comparison checklist.","L3&#8594;L2 &#8595; vs. 2026-08-26 (7d ago)"
"can enclomiphene raise my testosterone without shutting down natural production","TRT Clinic Evaluation Framework & Monitoring Questions","theindustryguides.com","Perplexity","2026-09-02","https://pmc.ncbi.nlm.nih.gov/articles/PMC4155868/, https://qimhealth.com/intelligence/enclomiphene-natural-testosterone-support, https://www.sciencedirect.com/science/article/pii/S0015028214005378, https://onlinelibrary.wiley.com/doi/10.1111/jsm.12116, https://tau.amegroups.org/article/view/129106/html","multi-paragraph structured guide","N","Y","Model relied on generic clinical summaries rather than structured local decision tables.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general overview and dosage || MISSING: Explicit bulleted comparison table and direct summary answering 'can enclomiphene raise my testosterone without shutting down natural production' in the first 120 words || EDIT: Insert a structured H2 'can enclomiphene raise my testosterone without shutting down natural production' with comparison matrix and quick reference callout box at top of section.",3,"L3 (unchanged vs. 2026-08-26)","pmc.ncbi.nlm.nih.gov, qimhealth.com, sciencedirect.com","strong incumbent","authority","authority required","trt/index.html","Add direct structured H2 block for 'can enclomiphene raise my testosterone without shutting down natural production' with 4-point comparison checklist.","L3 (unchanged vs. 2026-08-26)"
"can enclomiphene raise my testosterone without shutting down natural production","TRT Clinic Evaluation Framework & Monitoring Questions","theindustryguides.com","Gemini 1.5 Flash","2026-09-02","","multi-paragraph structured guide","Y","N","Model relied on generic clinical summaries rather than structured local decision tables.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general overview and dosage || MISSING: Explicit bulleted comparison table and direct summary answering 'can enclomiphene raise my testosterone without shutting down natural production' in the first 120 words || EDIT: Insert a structured H2 'can enclomiphene raise my testosterone without shutting down natural production' with comparison matrix and quick reference callout box at top of section.",2,"L3&#8594;L2 &#8595; vs. 2026-08-26 (7d ago)","","no incumbent","structure","free win","trt/index.html","Add direct structured H2 block for 'can enclomiphene raise my testosterone without shutting down natural production' with 4-point comparison checklist.","L3&#8594;L2 &#8595; vs. 2026-08-26 (7d ago)"
"can low testosterone cause sudden anxiety and panic attacks","Can Low Testosterone Cause Sudden Anxiety and Panic Attacks","theindustryguides.com","OpenAI GPT-4o","2026-09-02","","multi-paragraph structured guide","N","N","Model relied on generic clinical summaries rather than structured local decision tables.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general overview and dosage || MISSING: Explicit bulleted comparison table and direct summary answering 'can low testosterone cause sudden anxiety and panic attacks' in the first 120 words || EDIT: Insert a structured H2 'can low testosterone cause sudden anxiety and panic attacks' with comparison matrix and quick reference callout box at top of section.",1,"L1 (unchanged vs. 2026-08-26)","","no incumbent","structure","free win","trt/index.html","Add direct structured H2 block for 'can low testosterone cause sudden anxiety and panic attacks' with 4-point comparison checklist.","L1 (unchanged vs. 2026-08-26)"
"can low testosterone cause sudden anxiety and panic attacks","Can Low Testosterone Cause Sudden Anxiety and Panic Attacks","theindustryguides.com","Perplexity","2026-09-02","https://pubmed.ncbi.nlm.nih.gov/30471570/, https://www.sciencedirect.com/science/article/abs/pii/S030645301830739X, https://www.exclusivelygyn.com/post/3-surprising-symptoms-of-low-testosterone, https://tactushealth.com/trt/blog/low-testosterone-anxiety/, https://ironmountainmenshealth.com/blogs/articles/does-low-testosterone-cause-anxiety","multi-paragraph structured guide","N","N","Model relied on generic clinical summaries rather than structured local decision tables.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general overview and dosage || MISSING: Explicit bulleted comparison table and direct summary answering 'can low testosterone cause sudden anxiety and panic attacks' in the first 120 words || EDIT: Insert a structured H2 'can low testosterone cause sudden anxiety and panic attacks' with comparison matrix and quick reference callout box at top of section.",1,"L1 (unchanged vs. 2026-08-26)","pubmed.ncbi.nlm.nih.gov, sciencedirect.com, exclusivelygyn.com","strong incumbent","authority","authority required","trt/index.html","Add direct structured H2 block for 'can low testosterone cause sudden anxiety and panic attacks' with 4-point comparison checklist.","L1 (unchanged vs. 2026-08-26)"
"can low testosterone cause sudden anxiety and panic attacks","Can Low Testosterone Cause Sudden Anxiety and Panic Attacks","theindustryguides.com","Gemini 1.5 Flash","2026-09-02","","multi-paragraph structured guide","N","N","Model relied on generic clinical summaries rather than structured local decision tables.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general overview and dosage || MISSING: Explicit bulleted comparison table and direct summary answering 'can low testosterone cause sudden anxiety and panic attacks' in the first 120 words || EDIT: Insert a structured H2 'can low testosterone cause sudden anxiety and panic attacks' with comparison matrix and quick reference callout box at top of section.",1,"L1 (unchanged vs. 2026-08-26)","","no incumbent","structure","free win","trt/index.html","Add direct structured H2 block for 'can low testosterone cause sudden anxiety and panic attacks' with 4-point comparison checklist.","L1 (unchanged vs. 2026-08-26)"
"does TRT affect fertility and sperm count","TRT and Fertility: What to Ask","theindustryguides.com","OpenAI GPT-4o","2026-09-02","","multi-paragraph structured guide","Y","N","Model relied on generic clinical summaries rather than structured local decision tables.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general overview and dosage || MISSING: Explicit bulleted comparison table and direct summary answering 'does TRT affect fertility and sperm count' in the first 120 words || EDIT: Insert a structured H2 'does TRT affect fertility and sperm count' with comparison matrix and quick reference callout box at top of section.",2,"L1&#8594;L2 &#8593; vs. 2026-08-26 (7d ago)","","no incumbent","structure","free win","trt/index.html","Add direct structured H2 block for 'does TRT affect fertility and sperm count' with 4-point comparison checklist.","L1&#8594;L2 &#8593; vs. 2026-08-26 (7d ago)"
"does TRT affect fertility and sperm count","TRT and Fertility: What to Ask","theindustryguides.com","Perplexity","2026-09-02","https://pmc.ncbi.nlm.nih.gov/articles/PMC6305868/, https://healthrx.com/mens-trt/trt-and-fertility-impact, https://www.centreformenshealth.co.uk/articles/trt-and-fertility, https://herafertility.co/blogs/resources/trt-and-male-fertility-understanding-sperm-count-impact, https://shotfreetrt.com/blog/trt-and-fertility","multi-paragraph structured guide","N","Y","Model relied on generic clinical summaries rather than structured local decision tables.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general overview and dosage || MISSING: Explicit bulleted comparison table and direct summary answering 'does TRT affect fertility and sperm count' in the first 120 words || EDIT: Insert a structured H2 'does TRT affect fertility and sperm count' with comparison matrix and quick reference callout box at top of section.",3,"L3 (unchanged vs. 2026-08-26)","pmc.ncbi.nlm.nih.gov, healthrx.com, centreformenshealth.co.uk","strong incumbent","authority","authority required","trt/index.html","Add direct structured H2 block for 'does TRT affect fertility and sperm count' with 4-point comparison checklist.","L3 (unchanged vs. 2026-08-26)"
"does TRT affect fertility and sperm count","TRT and Fertility: What to Ask","theindustryguides.com","Gemini 1.5 Flash","2026-09-02","","multi-paragraph structured guide","Y","N","Model relied on generic clinical summaries rather than structured local decision tables.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general overview and dosage || MISSING: Explicit bulleted comparison table and direct summary answering 'does TRT affect fertility and sperm count' in the first 120 words || EDIT: Insert a structured H2 'does TRT affect fertility and sperm count' with comparison matrix and quick reference callout box at top of section.",2,"L3&#8594;L2 &#8595; vs. 2026-08-26 (7d ago)","","no incumbent","structure","free win","trt/index.html","Add direct structured H2 block for 'does TRT affect fertility and sperm count' with 4-point comparison checklist.","L3&#8594;L2 &#8595; vs. 2026-08-26 (7d ago)"
"does insurance cover testosterone replacement therapy","Does Insurance Cover TRT","theindustryguides.com","OpenAI GPT-4o","2026-09-02","","multi-paragraph structured guide","N","N","Model relied on generic clinical summaries rather than structured local decision tables.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general overview and dosage || MISSING: Explicit bulleted comparison table and direct summary answering 'does insurance cover testosterone replacement therapy' in the first 120 words || EDIT: Insert a structured H2 'does insurance cover testosterone replacement therapy' with comparison matrix and quick reference callout box at top of section.",1,"L1 (unchanged vs. 2026-08-26)","","no incumbent","structure","free win","trt/index.html","Add direct structured H2 block for 'does insurance cover testosterone replacement therapy' with 4-point comparison checklist.","L1 (unchanged vs. 2026-08-26)"
"does insurance cover testosterone replacement therapy","Does Insurance Cover TRT","theindustryguides.com","Perplexity","2026-09-02","https://policylab.us/testosterone-replacement-therapy/cost/, https://www.tvfammed.com/faq/does-insurance-cover-trt-answers/, https://www.medicalnewstoday.com/articles/does-medicare-cover-trt, https://www.uhcprovider.com/content/dam/provider/docs/public/policies/comm-medical-drug/testosterone-replacement-supp-therapy.pdf, https://www.medicare.org/articles/does-medicare-cover-low-t-treatment/","multi-paragraph structured guide","Y","N","Model relied on generic clinical summaries rather than structured local decision tables.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general overview and dosage || MISSING: Explicit bulleted comparison table and direct summary answering 'does insurance cover testosterone replacement therapy' in the first 120 words || EDIT: Insert a structured H2 'does insurance cover testosterone replacement therapy' with comparison matrix and quick reference callout box at top of section.",2,"L1&#8594;L2 &#8593; vs. 2026-08-26 (7d ago)","policylab.us, tvfammed.com, medicalnewstoday.com","medium incumbent","completeness","outperform","trt/index.html","Add direct structured H2 block for 'does insurance cover testosterone replacement therapy' with 4-point comparison checklist.","L1&#8594;L2 &#8593; vs. 2026-08-26 (7d ago)"
"does insurance cover testosterone replacement therapy","Does Insurance Cover TRT","theindustryguides.com","Gemini 1.5 Flash","2026-09-02","","multi-paragraph structured guide","Y","N","Model relied on generic clinical summaries rather than structured local decision tables.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general overview and dosage || MISSING: Explicit bulleted comparison table and direct summary answering 'does insurance cover testosterone replacement therapy' in the first 120 words || EDIT: Insert a structured H2 'does insurance cover testosterone replacement therapy' with comparison matrix and quick reference callout box at top of section.",2,"L1&#8594;L2 &#8593; vs. 2026-08-26 (7d ago)","","no incumbent","structure","free win","trt/index.html","Add direct structured H2 block for 'does insurance cover testosterone replacement therapy' with 4-point comparison checklist.","L1&#8594;L2 &#8593; vs. 2026-08-26 (7d ago)"
"does testosterone therapy raise blood pressure","TRT and Blood Pressure: What to Ask","theindustryguides.com","OpenAI GPT-4o","2026-09-02","","multi-paragraph structured guide","N","N","Model relied on generic clinical summaries rather than structured local decision tables.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general overview and dosage || MISSING: Explicit bulleted comparison table and direct summary answering 'does testosterone therapy raise blood pressure' in the first 120 words || EDIT: Insert a structured H2 'does testosterone therapy raise blood pressure' with comparison matrix and quick reference callout box at top of section.",1,"L1 (unchanged vs. 2026-08-26)","","no incumbent","structure","free win","trt/index.html","Add direct structured H2 block for 'does testosterone therapy raise blood pressure' with 4-point comparison checklist.","L1 (unchanged vs. 2026-08-26)"
"does testosterone therapy raise blood pressure","TRT and Blood Pressure: What to Ask","theindustryguides.com","Perplexity","2026-09-02","https://pubmed.ncbi.nlm.nih.gov/38449452/, https://wjmh.org/DOIx.php?id=10.5534/wjmh.230239, https://humanauthealth.com/blog/does-trt-raise-blood-pressure-what-the-evidence-shows, https://pubmed.ncbi.nlm.nih.gov/38088425/, https://pubmed.ncbi.nlm.nih.gov/39385523/","multi-paragraph structured guide","N","Y","Model relied on generic clinical summaries rather than structured local decision tables.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general overview and dosage || MISSING: Explicit bulleted comparison table and direct summary answering 'does testosterone therapy raise blood pressure' in the first 120 words || EDIT: Insert a structured H2 'does testosterone therapy raise blood pressure' with comparison matrix and quick reference callout box at top of section.",3,"L1&#8594;L3 &#8593; vs. 2026-08-26 (7d ago)","pubmed.ncbi.nlm.nih.gov, wjmh.org, humanauthealth.com","strong incumbent","authority","authority required","trt/index.html","Add direct structured H2 block for 'does testosterone therapy raise blood pressure' with 4-point comparison checklist.","L1&#8594;L3 &#8593; vs. 2026-08-26 (7d ago)"
