"Query","Intended Winner Page","Surface","Model","Date","Cited Sources","Answer Shape","Reused My Phrasing (Y/N)","Used My Logic (Y/N)","Gap Found","Patch Needed (Y/N)","Fix Recommendation","Progress Level (1-4)","Week-over-Week Change","Competitor Authority Signals","Gap Type","Primary Fix Type","Action Tier","Repo File Path","Edit Instruction","Week Over Week"
"best TRT clinic near me","Best TRT Clinic Near Me","theindustryguides.com","OpenAI GPT-4o","2026-08-05","","bulleted list with recommendations","N","N","Missing concise direct answer block and structured decision framework for 'best TRT clinic near me'.","Y","FILEPATH: trt/best-top-near-me/index.html || CURRENT: H2 headings cover general Best TRT Clinic Near Me guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'best TRT clinic near me' || EDIT: Add a dedicated H2 section titled 'Best TRT Clinic Near Me: Direct Comparison' with a 5-point evaluation table directly under the main H1.","1","L1 (unchanged vs. 2026-07-29)","N/A","medium incumbent","structure","free win","insights/trt-002.html","FILEPATH: trt/best-top-near-me/index.html || CURRENT: H2 headings cover general Best TRT Clinic Near Me guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'best TRT clinic near me' || EDIT: Add a dedicated H2 section titled 'Best TRT Clinic Near Me: Direct Comparison' with a 5-point evaluation table directly under the main H1.","L1 (unchanged vs. 2026-07-29)"
"does TRT affect fertility and sperm count","TRT and Fertility: What to Ask","theindustryguides.com","Gemini 1.5 Flash","2026-08-05","","bulleted list with recommendations","Y","Y","Missing concise direct answer block and structured decision framework for 'does TRT affect fertility and sperm count'.","Y","FILEPATH: insights/trt-019-trt-and-fertility-what-to-ask.html || CURRENT: H2 headings cover general TRT and Fertility: What to Ask guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'does TRT affect fertility and sperm count' || EDIT: Add a dedicated H2 section titled 'TRT and Fertility: What to Ask: Direct Comparison' with a 5-point evaluation table directly under the main H1.","2","L1→L2 ↑ vs. 2026-07-29 (7d ago)","N/A","medium incumbent","structure","page fix","insights/trt-002.html","FILEPATH: insights/trt-019-trt-and-fertility-what-to-ask.html || CURRENT: H2 headings cover general TRT and Fertility: What to Ask guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'does TRT affect fertility and sperm count' || EDIT: Add a dedicated H2 section titled 'TRT and Fertility: What to Ask: Direct Comparison' with a 5-point evaluation table directly under the main H1.","L1→L2 ↑ vs. 2026-07-29 (7d ago)"
"does insurance cover testosterone replacement therapy","Does Insurance Cover TRT","theindustryguides.com","OpenAI GPT-4o","2026-08-05","","bulleted list with recommendations","N","N","Missing concise direct answer block and structured decision framework for 'does insurance cover testosterone replacement therapy'.","Y","FILEPATH: insights/trt-013-does-insurance-cover-trt.html || CURRENT: H2 headings cover general Does Insurance Cover TRT guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'does insurance cover testosterone replacement therapy' || EDIT: Add a dedicated H2 section titled 'Does Insurance Cover TRT: Direct Comparison' with a 5-point evaluation table directly under the main H1.","1","L1 (unchanged vs. 2026-07-29)","N/A","medium incumbent","structure","free win","insights/trt-002.html","FILEPATH: insights/trt-013-does-insurance-cover-trt.html || CURRENT: H2 headings cover general Does Insurance Cover TRT guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'does insurance cover testosterone replacement therapy' || EDIT: Add a dedicated H2 section titled 'Does Insurance Cover TRT: Direct Comparison' with a 5-point evaluation table directly under the main H1.","L1 (unchanged vs. 2026-07-29)"
"does insurance cover testosterone replacement therapy","Does Insurance Cover TRT","theindustryguides.com","Perplexity","2026-08-05","https://trtplug.com, https://thetrtsource.com","bulleted list with recommendations","N","N","Missing concise direct answer block and structured decision framework for 'does insurance cover testosterone replacement therapy'.","Y","FILEPATH: insights/trt-013-does-insurance-cover-trt.html || CURRENT: H2 headings cover general Does Insurance Cover TRT guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'does insurance cover testosterone replacement therapy' || EDIT: Add a dedicated H2 section titled 'Does Insurance Cover TRT: Direct Comparison' with a 5-point evaluation table directly under the main H1.","1","L1 (unchanged vs. 2026-07-29)","trtplug.com (Domain Rating 42, 18 citations)","medium incumbent","clarity","page fix","insights/trt-002.html","FILEPATH: insights/trt-013-does-insurance-cover-trt.html || CURRENT: H2 headings cover general Does Insurance Cover TRT guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'does insurance cover testosterone replacement therapy' || EDIT: Add a dedicated H2 section titled 'Does Insurance Cover TRT: Direct Comparison' with a 5-point evaluation table directly under the main H1.","L1 (unchanged vs. 2026-07-29)"
"does insurance cover testosterone replacement therapy","Does Insurance Cover TRT","theindustryguides.com","Gemini 1.5 Flash","2026-08-05","","bulleted list with recommendations","Y","Y","Missing concise direct answer block and structured decision framework for 'does insurance cover testosterone replacement therapy'.","Y","FILEPATH: insights/trt-013-does-insurance-cover-trt.html || CURRENT: H2 headings cover general Does Insurance Cover TRT guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'does insurance cover testosterone replacement therapy' || EDIT: Add a dedicated H2 section titled 'Does Insurance Cover TRT: Direct Comparison' with a 5-point evaluation table directly under the main H1.","2","L1→L2 ↑ vs. 2026-07-29 (7d ago)","N/A","medium incumbent","structure","page fix","insights/trt-002.html","FILEPATH: insights/trt-013-does-insurance-cover-trt.html || CURRENT: H2 headings cover general Does Insurance Cover TRT guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'does insurance cover testosterone replacement therapy' || EDIT: Add a dedicated H2 section titled 'Does Insurance Cover TRT: Direct Comparison' with a 5-point evaluation table directly under the main H1.","L1→L2 ↑ vs. 2026-07-29 (7d ago)"
"does testosterone therapy raise blood pressure","TRT and Blood Pressure: What to Ask","theindustryguides.com","OpenAI GPT-4o","2026-08-05","","bulleted list with recommendations","N","N","Missing concise direct answer block and structured decision framework for 'does testosterone therapy raise blood pressure'.","Y","FILEPATH: insights/trt-021-trt-and-blood-pressure-what-to-ask.html || CURRENT: H2 headings cover general TRT and Blood Pressure: What to Ask guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'does testosterone therapy raise blood pressure' || EDIT: Add a dedicated H2 section titled 'TRT and Blood Pressure: What to Ask: Direct Comparison' with a 5-point evaluation table directly under the main H1.","1","L1 (unchanged vs. 2026-07-29)","N/A","medium incumbent","structure","free win","insights/trt-002.html","FILEPATH: insights/trt-021-trt-and-blood-pressure-what-to-ask.html || CURRENT: H2 headings cover general TRT and Blood Pressure: What to Ask guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'does testosterone therapy raise blood pressure' || EDIT: Add a dedicated H2 section titled 'TRT and Blood Pressure: What to Ask: Direct Comparison' with a 5-point evaluation table directly under the main H1.","L1 (unchanged vs. 2026-07-29)"
"does testosterone therapy raise blood pressure","TRT and Blood Pressure: What to Ask","theindustryguides.com","Perplexity","2026-08-05","https://trtplug.com, https://thetrtsource.com","bulleted list with recommendations","N","N","Missing concise direct answer block and structured decision framework for 'does testosterone therapy raise blood pressure'.","Y","FILEPATH: insights/trt-021-trt-and-blood-pressure-what-to-ask.html || CURRENT: H2 headings cover general TRT and Blood Pressure: What to Ask guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'does testosterone therapy raise blood pressure' || EDIT: Add a dedicated H2 section titled 'TRT and Blood Pressure: What to Ask: Direct Comparison' with a 5-point evaluation table directly under the main H1.","1","L2→L1 ↓ vs. 2026-07-29 (7d ago)","trtplug.com (Domain Rating 42, 18 citations)","strong incumbent","completeness","outperform","insights/trt-002.html","FILEPATH: insights/trt-021-trt-and-blood-pressure-what-to-ask.html || CURRENT: H2 headings cover general TRT and Blood Pressure: What to Ask guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'does testosterone therapy raise blood pressure' || EDIT: Add a dedicated H2 section titled 'TRT and Blood Pressure: What to Ask: Direct Comparison' with a 5-point evaluation table directly under the main H1.","L2→L1 ↓ vs. 2026-07-29 (7d ago)"
"does testosterone therapy raise blood pressure","TRT and Blood Pressure: What to Ask","theindustryguides.com","Gemini 1.5 Flash","2026-08-05","","bulleted list with recommendations","Y","Y","Missing concise direct answer block and structured decision framework for 'does testosterone therapy raise blood pressure'.","Y","FILEPATH: insights/trt-021-trt-and-blood-pressure-what-to-ask.html || CURRENT: H2 headings cover general TRT and Blood Pressure: What to Ask guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'does testosterone therapy raise blood pressure' || EDIT: Add a dedicated H2 section titled 'TRT and Blood Pressure: What to Ask: Direct Comparison' with a 5-point evaluation table directly under the main H1.","2","L2 (unchanged vs. 2026-07-29)","N/A","medium incumbent","structure","page fix","insights/trt-002.html","FILEPATH: insights/trt-021-trt-and-blood-pressure-what-to-ask.html || CURRENT: H2 headings cover general TRT and Blood Pressure: What to Ask guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'does testosterone therapy raise blood pressure' || EDIT: Add a dedicated H2 section titled 'TRT and Blood Pressure: What to Ask: Direct Comparison' with a 5-point evaluation table directly under the main H1.","L2 (unchanged vs. 2026-07-29)"
"how do I verify a TRT clinic's credentials and licensing","How to Check a Clinic's Credentials","theindustryguides.com","OpenAI GPT-4o","2026-08-05","","bulleted list with recommendations","N","N","Missing concise direct answer block and structured decision framework for 'how do I verify a TRT clinic's credentials and licensing'.","Y","FILEPATH: insights/trt-026-how-to-check-a-clinic-s-credentials.html || CURRENT: H2 headings cover general How to Check a Clinic's Credentials guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'how do I verify a TRT clinic's credentials and licensing' || EDIT: Add a dedicated H2 section titled 'How to Check a Clinic's Credentials: Direct Comparison' with a 5-point evaluation table directly under the main H1.","1","L1 (unchanged vs. 2026-07-29)","N/A","medium incumbent","structure","free win","insights/trt-002.html","FILEPATH: insights/trt-026-how-to-check-a-clinic-s-credentials.html || CURRENT: H2 headings cover general How to Check a Clinic's Credentials guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'how do I verify a TRT clinic's credentials and licensing' || EDIT: Add a dedicated H2 section titled 'How to Check a Clinic's Credentials: Direct Comparison' with a 5-point evaluation table directly under the main H1.","L1 (unchanged vs. 2026-07-29)"
"how do I verify a TRT clinic's credentials and licensing","How to Check a Clinic's Credentials","theindustryguides.com","Perplexity","2026-08-05","https://trtplug.com, https://thetrtsource.com","bulleted list with recommendations","Y","N","Missing concise direct answer block and structured decision framework for 'how do I verify a TRT clinic's credentials and licensing'.","Y","FILEPATH: insights/trt-026-how-to-check-a-clinic-s-credentials.html || CURRENT: H2 headings cover general How to Check a Clinic's Credentials guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'how do I verify a TRT clinic's credentials and licensing' || EDIT: Add a dedicated H2 section titled 'How to Check a Clinic's Credentials: Direct Comparison' with a 5-point evaluation table directly under the main H1.","2","L4→L2 ↓ vs. 2026-07-29 (7d ago)","trtplug.com (Domain Rating 42, 18 citations)","medium incumbent","structure","free win","insights/trt-002.html","FILEPATH: insights/trt-026-how-to-check-a-clinic-s-credentials.html || CURRENT: H2 headings cover general How to Check a Clinic's Credentials guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'how do I verify a TRT clinic's credentials and licensing' || EDIT: Add a dedicated H2 section titled 'How to Check a Clinic's Credentials: Direct Comparison' with a 5-point evaluation table directly under the main H1.","L4→L2 ↓ vs. 2026-07-29 (7d ago)"
"how do I verify a TRT clinic's credentials and licensing","How to Check a Clinic's Credentials","theindustryguides.com","Gemini 1.5 Flash","2026-08-05","","bulleted list with recommendations","Y","Y","Missing concise direct answer block and structured decision framework for 'how do I verify a TRT clinic's credentials and licensing'.","Y","FILEPATH: insights/trt-026-how-to-check-a-clinic-s-credentials.html || CURRENT: H2 headings cover general How to Check a Clinic's Credentials guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'how do I verify a TRT clinic's credentials and licensing' || EDIT: Add a dedicated H2 section titled 'How to Check a Clinic's Credentials: Direct Comparison' with a 5-point evaluation table directly under the main H1.","2","L2 (unchanged vs. 2026-07-29)","N/A","medium incumbent","structure","page fix","insights/trt-002.html","FILEPATH: insights/trt-026-how-to-check-a-clinic-s-credentials.html || CURRENT: H2 headings cover general How to Check a Clinic's Credentials guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'how do I verify a TRT clinic's credentials and licensing' || EDIT: Add a dedicated H2 section titled 'How to Check a Clinic's Credentials: Direct Comparison' with a 5-point evaluation table directly under the main H1.","L2 (unchanged vs. 2026-07-29)"
"how much does TRT cost per month","How Much Does TRT Cost","theindustryguides.com","OpenAI GPT-4o","2026-08-05","","bulleted list with recommendations","N","N","Missing concise direct answer block and structured decision framework for 'how much does TRT cost per month'.","Y","FILEPATH: insights/trt-012-how-much-does-trt-cost.html || CURRENT: H2 headings cover general How Much Does TRT Cost guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'how much does TRT cost per month' || EDIT: Add a dedicated H2 section titled 'How Much Does TRT Cost: Direct Comparison' with a 5-point evaluation table directly under the main H1.","1","L1 (unchanged vs. 2026-07-29)","N/A","medium incumbent","structure","free win","insights/trt-002.html","FILEPATH: insights/trt-012-how-much-does-trt-cost.html || CURRENT: H2 headings cover general How Much Does TRT Cost guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'how much does TRT cost per month' || EDIT: Add a dedicated H2 section titled 'How Much Does TRT Cost: Direct Comparison' with a 5-point evaluation table directly under the main H1.","L1 (unchanged vs. 2026-07-29)"
"how much does TRT cost per month","How Much Does TRT Cost","theindustryguides.com","Perplexity","2026-08-05","https://trtplug.com, https://thetrtsource.com","bulleted list with recommendations","N","N","Missing concise direct answer block and structured decision framework for 'how much does TRT cost per month'.","Y","FILEPATH: insights/trt-012-how-much-does-trt-cost.html || CURRENT: H2 headings cover general How Much Does TRT Cost guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'how much does TRT cost per month' || EDIT: Add a dedicated H2 section titled 'How Much Does TRT Cost: Direct Comparison' with a 5-point evaluation table directly under the main H1.","1","L1 (unchanged vs. 2026-07-29)","trtplug.com (Domain Rating 42, 18 citations)","medium incumbent","clarity","page fix","insights/trt-002.html","FILEPATH: insights/trt-012-how-much-does-trt-cost.html || CURRENT: H2 headings cover general How Much Does TRT Cost guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'how much does TRT cost per month' || EDIT: Add a dedicated H2 section titled 'How Much Does TRT Cost: Direct Comparison' with a 5-point evaluation table directly under the main H1.","L1 (unchanged vs. 2026-07-29)"
"how much does TRT cost per month","How Much Does TRT Cost","theindustryguides.com","Gemini 1.5 Flash","2026-08-05","","bulleted list with recommendations","Y","Y","Missing concise direct answer block and structured decision framework for 'how much does TRT cost per month'.","Y","FILEPATH: insights/trt-012-how-much-does-trt-cost.html || CURRENT: H2 headings cover general How Much Does TRT Cost guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'how much does TRT cost per month' || EDIT: Add a dedicated H2 section titled 'How Much Does TRT Cost: Direct Comparison' with a 5-point evaluation table directly under the main H1.","2","L1→L2 ↑ vs. 2026-07-29 (7d ago)","N/A","medium incumbent","structure","page fix","insights/trt-002.html","FILEPATH: insights/trt-012-how-much-does-trt-cost.html || CURRENT: H2 headings cover general How Much Does TRT Cost guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'how much does TRT cost per month' || EDIT: Add a dedicated H2 section titled 'How Much Does TRT Cost: Direct Comparison' with a 5-point evaluation table directly under the main H1.","L1→L2 ↑ vs. 2026-07-29 (7d ago)"
"how to choose a TRT provider","How to Choose a TRT Provider","theindustryguides.com","OpenAI GPT-4o","2026-08-05","","bulleted list with recommendations","N","N","Missing concise direct answer block and structured decision framework for 'how to choose a TRT provider'.","Y","FILEPATH: insights/trt-008-how-to-choose-a-trt-provider.html || CURRENT: H2 headings cover general How to Choose a TRT Provider guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'how to choose a TRT provider' || EDIT: Add a dedicated H2 section titled 'How to Choose a TRT Provider: Direct Comparison' with a 5-point evaluation table directly under the main H1.","1","new","N/A","medium incumbent","structure","free win","insights/trt-002.html","FILEPATH: insights/trt-008-how-to-choose-a-trt-provider.html || CURRENT: H2 headings cover general How to Choose a TRT Provider guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'how to choose a TRT provider' || EDIT: Add a dedicated H2 section titled 'How to Choose a TRT Provider: Direct Comparison' with a 5-point evaluation table directly under the main H1.","new"
"how to choose a TRT provider","How to Choose a TRT Provider","theindustryguides.com","Perplexity","2026-08-05","https://trtplug.com, https://thetrtsource.com","bulleted list with recommendations","Y","N","Missing concise direct answer block and structured decision framework for 'how to choose a TRT provider'.","Y","FILEPATH: insights/trt-008-how-to-choose-a-trt-provider.html || CURRENT: H2 headings cover general How to Choose a TRT Provider guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'how to choose a TRT provider' || EDIT: Add a dedicated H2 section titled 'How to Choose a TRT Provider: Direct Comparison' with a 5-point evaluation table directly under the main H1.","2","new","trtplug.com (Domain Rating 42, 18 citations)","medium incumbent","structure","free win","insights/trt-002.html","FILEPATH: insights/trt-008-how-to-choose-a-trt-provider.html || CURRENT: H2 headings cover general How to Choose a TRT Provider guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'how to choose a TRT provider' || EDIT: Add a dedicated H2 section titled 'How to Choose a TRT Provider: Direct Comparison' with a 5-point evaluation table directly under the main H1.","new"
"how to choose a TRT provider","How to Choose a TRT Provider","theindustryguides.com","Gemini 1.5 Flash","2026-08-05","","bulleted list with recommendations","Y","Y","Missing concise direct answer block and structured decision framework for 'how to choose a TRT provider'.","Y","FILEPATH: insights/trt-008-how-to-choose-a-trt-provider.html || CURRENT: H2 headings cover general How to Choose a TRT Provider guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'how to choose a TRT provider' || EDIT: Add a dedicated H2 section titled 'How to Choose a TRT Provider: Direct Comparison' with a 5-point evaluation table directly under the main H1.","2","new","N/A","medium incumbent","structure","page fix","insights/trt-002.html","FILEPATH: insights/trt-008-how-to-choose-a-trt-provider.html || CURRENT: H2 headings cover general How to Choose a TRT Provider guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'how to choose a TRT provider' || EDIT: Add a dedicated H2 section titled 'How to Choose a TRT Provider: Direct Comparison' with a 5-point evaluation table directly under the main H1.","new"
"how long until TRT works","TRT Results Timeline: What to Expect","theindustryguides.com","OpenAI GPT-4o","2026-08-05","","bulleted list with recommendations","N","N","Missing concise direct answer block and structured decision framework for 'how long until TRT works'.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general TRT Results Timeline: What to Expect guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'how long until TRT works' || EDIT: Add a dedicated H2 section titled 'TRT Results Timeline: What to Expect: Direct Comparison' with a 5-point evaluation table directly under the main H1.","1","new","N/A","medium incumbent","structure","free win","insights/trt-002.html","FILEPATH: trt/index.html || CURRENT: H2 headings cover general TRT Results Timeline: What to Expect guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'how long until TRT works' || EDIT: Add a dedicated H2 section titled 'TRT Results Timeline: What to Expect: Direct Comparison' with a 5-point evaluation table directly under the main H1.","new"
"how long until TRT works","TRT Results Timeline: What to Expect","theindustryguides.com","Perplexity","2026-08-05","https://trtplug.com, https://thetrtsource.com","bulleted list with recommendations","N","N","Missing concise direct answer block and structured decision framework for 'how long until TRT works'.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general TRT Results Timeline: What to Expect guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'how long until TRT works' || EDIT: Add a dedicated H2 section titled 'TRT Results Timeline: What to Expect: Direct Comparison' with a 5-point evaluation table directly under the main H1.","1","new","trtplug.com (Domain Rating 42, 18 citations)","medium incumbent","clarity","page fix","insights/trt-002.html","FILEPATH: trt/index.html || CURRENT: H2 headings cover general TRT Results Timeline: What to Expect guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'how long until TRT works' || EDIT: Add a dedicated H2 section titled 'TRT Results Timeline: What to Expect: Direct Comparison' with a 5-point evaluation table directly under the main H1.","new"
"how long until TRT works","TRT Results Timeline: What to Expect","theindustryguides.com","Gemini 1.5 Flash","2026-08-05","","bulleted list with recommendations","Y","Y","Missing concise direct answer block and structured decision framework for 'how long until TRT works'.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general TRT Results Timeline: What to Expect guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'how long until TRT works' || EDIT: Add a dedicated H2 section titled 'TRT Results Timeline: What to Expect: Direct Comparison' with a 5-point evaluation table directly under the main H1.","2","new","N/A","medium incumbent","structure","page fix","insights/trt-002.html","FILEPATH: trt/index.html || CURRENT: H2 headings cover general TRT Results Timeline: What to Expect guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'how long until TRT works' || EDIT: Add a dedicated H2 section titled 'TRT Results Timeline: What to Expect: Direct Comparison' with a 5-point evaluation table directly under the main H1.","new"
"TRT injections vs gel — how to decide","TRT Injections vs Gel: How to Decide","theindustryguides.com","OpenAI GPT-4o","2026-08-05","","bulleted list with recommendations","N","N","Missing concise direct answer block and structured decision framework for 'TRT injections vs gel — how to decide'.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general TRT Injections vs Gel: How to Decide guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'TRT injections vs gel — how to decide' || EDIT: Add a dedicated H2 section titled 'TRT Injections vs Gel: How to Decide: Direct Comparison' with a 5-point evaluation table directly under the main H1.","1","new","N/A","medium incumbent","structure","free win","insights/trt-002.html","FILEPATH: trt/index.html || CURRENT: H2 headings cover general TRT Injections vs Gel: How to Decide guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'TRT injections vs gel — how to decide' || EDIT: Add a dedicated H2 section titled 'TRT Injections vs Gel: How to Decide: Direct Comparison' with a 5-point evaluation table directly under the main H1.","new"
"TRT injections vs gel — how to decide","TRT Injections vs Gel: How to Decide","theindustryguides.com","Perplexity","2026-08-05","https://trtplug.com, https://thetrtsource.com","bulleted list with recommendations","N","N","Missing concise direct answer block and structured decision framework for 'TRT injections vs gel — how to decide'.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general TRT Injections vs Gel: How to Decide guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'TRT injections vs gel — how to decide' || EDIT: Add a dedicated H2 section titled 'TRT Injections vs Gel: How to Decide: Direct Comparison' with a 5-point evaluation table directly under the main H1.","1","new","trtplug.com (Domain Rating 42, 18 citations)","medium incumbent","clarity","page fix","insights/trt-002.html","FILEPATH: trt/index.html || CURRENT: H2 headings cover general TRT Injections vs Gel: How to Decide guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'TRT injections vs gel — how to decide' || EDIT: Add a dedicated H2 section titled 'TRT Injections vs Gel: How to Decide: Direct Comparison' with a 5-point evaluation table directly under the main H1.","new"
"TRT injections vs gel — how to decide","TRT Injections vs Gel: How to Decide","theindustryguides.com","Gemini 1.5 Flash","2026-08-05","","bulleted list with recommendations","Y","Y","Missing concise direct answer block and structured decision framework for 'TRT injections vs gel — how to decide'.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general TRT Injections vs Gel: How to Decide guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'TRT injections vs gel — how to decide' || EDIT: Add a dedicated H2 section titled 'TRT Injections vs Gel: How to Decide: Direct Comparison' with a 5-point evaluation table directly under the main H1.","2","new","N/A","medium incumbent","structure","page fix","insights/trt-002.html","FILEPATH: trt/index.html || CURRENT: H2 headings cover general TRT Injections vs Gel: How to Decide guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'TRT injections vs gel — how to decide' || EDIT: Add a dedicated H2 section titled 'TRT Injections vs Gel: How to Decide: Direct Comparison' with a 5-point evaluation table directly under the main H1.","new"
"TRT monitoring what labs matter","TRT Monitoring: What Blood Tests Matter","theindustryguides.com","OpenAI GPT-4o","2026-08-05","","bulleted list with recommendations","N","N","Missing concise direct answer block and structured decision framework for 'TRT monitoring what labs matter'.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general TRT Monitoring: What Blood Tests Matter guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'TRT monitoring what labs matter' || EDIT: Add a dedicated H2 section titled 'TRT Monitoring: What Blood Tests Matter: Direct Comparison' with a 5-point evaluation table directly under the main H1.","1","new","N/A","medium incumbent","structure","free win","insights/trt-002.html","FILEPATH: trt/index.html || CURRENT: H2 headings cover general TRT Monitoring: What Blood Tests Matter guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'TRT monitoring what labs matter' || EDIT: Add a dedicated H2 section titled 'TRT Monitoring: What Blood Tests Matter: Direct Comparison' with a 5-point evaluation table directly under the main H1.","new"
"TRT monitoring what labs matter","TRT Monitoring: What Blood Tests Matter","theindustryguides.com","Perplexity","2026-08-05","https://trtplug.com, https://thetrtsource.com","bulleted list with recommendations","N","N","Missing concise direct answer block and structured decision framework for 'TRT monitoring what labs matter'.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general TRT Monitoring: What Blood Tests Matter guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'TRT monitoring what labs matter' || EDIT: Add a dedicated H2 section titled 'TRT Monitoring: What Blood Tests Matter: Direct Comparison' with a 5-point evaluation table directly under the main H1.","1","new","trtplug.com (Domain Rating 42, 18 citations)","medium incumbent","clarity","page fix","insights/trt-002.html","FILEPATH: trt/index.html || CURRENT: H2 headings cover general TRT Monitoring: What Blood Tests Matter guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'TRT monitoring what labs matter' || EDIT: Add a dedicated H2 section titled 'TRT Monitoring: What Blood Tests Matter: Direct Comparison' with a 5-point evaluation table directly under the main H1.","new"
"TRT monitoring what labs matter","TRT Monitoring: What Blood Tests Matter","theindustryguides.com","Gemini 1.5 Flash","2026-08-05","","bulleted list with recommendations","Y","Y","Missing concise direct answer block and structured decision framework for 'TRT monitoring what labs matter'.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general TRT Monitoring: What Blood Tests Matter guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'TRT monitoring what labs matter' || EDIT: Add a dedicated H2 section titled 'TRT Monitoring: What Blood Tests Matter: Direct Comparison' with a 5-point evaluation table directly under the main H1.","2","new","N/A","medium incumbent","structure","page fix","insights/trt-002.html","FILEPATH: trt/index.html || CURRENT: H2 headings cover general TRT Monitoring: What Blood Tests Matter guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'TRT monitoring what labs matter' || EDIT: Add a dedicated H2 section titled 'TRT Monitoring: What Blood Tests Matter: Direct Comparison' with a 5-point evaluation table directly under the main H1.","new"
