Query,Intended Winner Page,Surface,Model,Date,Cited Sources,Answer Shape,Reused My Phrasing (Y/N),Used My Logic (Y/N),Gap Found,Patch Needed (Y/N),Fix Recommendation,Progress Level (1-4),Week-over-Week Change,Competitor Authority Signals,Gap Type,Primary Fix Type,Action Tier,Repo File Path,Edit Instruction,Week Over Week,Vertical
"do i have to talk to the insurance company first after an accident","https://theindustryguides.com/insights/personal-injury-015-do-i-have-to-talk-to-insurance-first.html","theindustryguides.com","Perplexity","2026-07-27","[]","Direct answer paragraph with explanatory bullet points","N","N","Target page not cited in top sources","Y","FILEPATH: personal-injury/index.html || CURRENT: Page covers do i have to talk to the insurance company first after an accident general guidance || MISSING: Explicit structured answer and comparison table || EDIT: Add a dedicated H2 and bulleted decision framework for do i have to talk to the insurance company first after an accident.",1,"L1 (unc) vs. 2026-07-20 (7d ago)","Competitor domains hold primary citation slots","strong incumbent","structure","free win","personal-injury/index.html","FILEPATH: personal-injury/index.html || CURRENT: Page covers do i have to talk to the insurance company first after an accident general guidance || MISSING: Explicit structured answer and comparison table || EDIT: Add a dedicated H2 and bulleted decision framework for do i have to talk to the insurance company first after an accident.","L1 (unc) vs. 2026-07-20 (7d ago)","personal-injury"
"do i have to talk to the insurance company first after an accident","https://theindustryguides.com/insights/personal-injury-015-do-i-have-to-talk-to-insurance-first.html","theindustryguides.com","Gemini 1.5 Flash","2026-07-27","[]","Direct answer paragraph with explanatory bullet points","N","N","Target page not cited in top sources","Y","FILEPATH: personal-injury/index.html || CURRENT: Page covers do i have to talk to the insurance company first after an accident general guidance || MISSING: Explicit structured answer and comparison table || EDIT: Add a dedicated H2 and bulleted decision framework for do i have to talk to the insurance company first after an accident.",1,"L1 (unc) vs. 2026-07-20 (7d ago)","Competitor domains hold primary citation slots","strong incumbent","structure","free win","personal-injury/index.html","FILEPATH: personal-injury/index.html || CURRENT: Page covers do i have to talk to the insurance company first after an accident general guidance || MISSING: Explicit structured answer and comparison table || EDIT: Add a dedicated H2 and bulleted decision framework for do i have to talk to the insurance company first after an accident.","L1 (unc) vs. 2026-07-20 (7d ago)","personal-injury"
"do i need a lawyer after a drink and drive accident","https://theindustryguides.com/personal-injury/","theindustryguides.com","OpenAI GPT-4o","2026-07-27","[]","Direct answer paragraph with explanatory bullet points","N","N","Target page not cited in top sources","Y","FILEPATH: personal-injury/index.html || CURRENT: Page covers do i need a lawyer after a drink and drive accident general guidance || MISSING: Explicit structured answer and comparison table || EDIT: Add a dedicated H2 and bulleted decision framework for do i need a lawyer after a drink and drive accident.",1,"L1 (unc) vs. 2026-07-20 (7d ago)","Competitor domains hold primary citation slots","strong incumbent","structure","free win","personal-injury/index.html","FILEPATH: personal-injury/index.html || CURRENT: Page covers do i need a lawyer after a drink and drive accident general guidance || MISSING: Explicit structured answer and comparison table || EDIT: Add a dedicated H2 and bulleted decision framework for do i need a lawyer after a drink and drive accident.","L1 (unc) vs. 2026-07-20 (7d ago)","personal-injury"
"do i need a lawyer after a drink and drive accident","https://theindustryguides.com/personal-injury/","theindustryguides.com","Perplexity","2026-07-27","[]","Direct answer paragraph with explanatory bullet points","N","N","Target page not cited in top sources","Y","FILEPATH: personal-injury/index.html || CURRENT: Page covers do i need a lawyer after a drink and drive accident general guidance || MISSING: Explicit structured answer and comparison table || EDIT: Add a dedicated H2 and bulleted decision framework for do i need a lawyer after a drink and drive accident.",1,"L1 (unc) vs. 2026-07-20 (7d ago)","Competitor domains hold primary citation slots","strong incumbent","structure","free win","personal-injury/index.html","FILEPATH: personal-injury/index.html || CURRENT: Page covers do i need a lawyer after a drink and drive accident general guidance || MISSING: Explicit structured answer and comparison table || EDIT: Add a dedicated H2 and bulleted decision framework for do i need a lawyer after a drink and drive accident.","L1 (unc) vs. 2026-07-20 (7d ago)","personal-injury"
"do i need a lawyer after a drink and drive accident","https://theindustryguides.com/personal-injury/","theindustryguides.com","Gemini 1.5 Flash","2026-07-27","[]","Direct answer paragraph with explanatory bullet points","N","N","Target page not cited in top sources","Y","FILEPATH: personal-injury/index.html || CURRENT: Page covers do i need a lawyer after a drink and drive accident general guidance || MISSING: Explicit structured answer and comparison table || EDIT: Add a dedicated H2 and bulleted decision framework for do i need a lawyer after a drink and drive accident.",1,"L1 (unc) vs. 2026-07-20 (7d ago)","Competitor domains hold primary citation slots","strong incumbent","structure","free win","personal-injury/index.html","FILEPATH: personal-injury/index.html || CURRENT: Page covers do i need a lawyer after a drink and drive accident general guidance || MISSING: Explicit structured answer and comparison table || EDIT: Add a dedicated H2 and bulleted decision framework for do i need a lawyer after a drink and drive accident.","L1 (unc) vs. 2026-07-20 (7d ago)","personal-injury"
"how is fault determined in a personal injury case","https://theindustryguides.com/personal-injury/insurance-fault/","theindustryguides.com","OpenAI GPT-4o","2026-07-27","[]","Direct answer paragraph with explanatory bullet points","N","N","Target page not cited in top sources","Y","FILEPATH: personal-injury/index.html || CURRENT: Page covers how is fault determined in a personal injury case general guidance || MISSING: Explicit structured answer and comparison table || EDIT: Add a dedicated H2 and bulleted decision framework for how is fault determined in a personal injury case.",1,"L1 (unc) vs. 2026-07-20 (7d ago)","Competitor domains hold primary citation slots","strong incumbent","structure","free win","personal-injury/index.html","FILEPATH: personal-injury/index.html || CURRENT: Page covers how is fault determined in a personal injury case general guidance || MISSING: Explicit structured answer and comparison table || EDIT: Add a dedicated H2 and bulleted decision framework for how is fault determined in a personal injury case.","L1 (unc) vs. 2026-07-20 (7d ago)","personal-injury"
"how is fault determined in a personal injury case","https://theindustryguides.com/personal-injury/insurance-fault/","theindustryguides.com","Perplexity","2026-07-27","[]","Direct answer paragraph with explanatory bullet points","N","N","Target page not cited in top sources","Y","FILEPATH: personal-injury/index.html || CURRENT: Page covers how is fault determined in a personal injury case general guidance || MISSING: Explicit structured answer and comparison table || EDIT: Add a dedicated H2 and bulleted decision framework for how is fault determined in a personal injury case.",1,"L1 (unc) vs. 2026-07-20 (7d ago)","Competitor domains hold primary citation slots","strong incumbent","structure","free win","personal-injury/index.html","FILEPATH: personal-injury/index.html || CURRENT: Page covers how is fault determined in a personal injury case general guidance || MISSING: Explicit structured answer and comparison table || EDIT: Add a dedicated H2 and bulleted decision framework for how is fault determined in a personal injury case.","L1 (unc) vs. 2026-07-20 (7d ago)","personal-injury"
"how is fault determined in a personal injury case","https://theindustryguides.com/personal-injury/insurance-fault/","theindustryguides.com","Gemini 1.5 Flash","2026-07-27","[]","Direct answer paragraph with explanatory bullet points","N","N","Target page not cited in top sources","Y","FILEPATH: personal-injury/index.html || CURRENT: Page covers how is fault determined in a personal injury case general guidance || MISSING: Explicit structured answer and comparison table || EDIT: Add a dedicated H2 and bulleted decision framework for how is fault determined in a personal injury case.",1,"L1 (unc) vs. 2026-07-20 (7d ago)","Competitor domains hold primary citation slots","strong incumbent","structure","free win","personal-injury/index.html","FILEPATH: personal-injury/index.html || CURRENT: Page covers how is fault determined in a personal injury case general guidance || MISSING: Explicit structured answer and comparison table || EDIT: Add a dedicated H2 and bulleted decision framework for how is fault determined in a personal injury case.","L1 (unc) vs. 2026-07-20 (7d ago)","personal-injury"
"how to avoid saying the wrong thing to the insurance company","https://theindustryguides.com/insights/personal-injury-024-how-to-avoid-saying-the-wrong-thing-to-insurance.html","theindustryguides.com","OpenAI GPT-4o","2026-07-27","[]","Direct answer paragraph with explanatory bullet points","N","N","Target page not cited in top sources","Y","FILEPATH: personal-injury/index.html || CURRENT: Page covers how to avoid saying the wrong thing to the insurance company general guidance || MISSING: Explicit structured answer and comparison table || EDIT: Add a dedicated H2 and bulleted decision framework for how to avoid saying the wrong thing to the insurance company.",1,"L1 (unc) vs. 2026-07-20 (7d ago)","Competitor domains hold primary citation slots","strong incumbent","structure","free win","personal-injury/index.html","FILEPATH: personal-injury/index.html || CURRENT: Page covers how to avoid saying the wrong thing to the insurance company general guidance || MISSING: Explicit structured answer and comparison table || EDIT: Add a dedicated H2 and bulleted decision framework for how to avoid saying the wrong thing to the insurance company.","L1 (unc) vs. 2026-07-20 (7d ago)","personal-injury"
"how to avoid saying the wrong thing to the insurance company","https://theindustryguides.com/insights/personal-injury-024-how-to-avoid-saying-the-wrong-thing-to-insurance.html","theindustryguides.com","Perplexity","2026-07-27","[]","Direct answer paragraph with explanatory bullet points","N","N","Target page not cited in top sources","Y","FILEPATH: personal-injury/index.html || CURRENT: Page covers how to avoid saying the wrong thing to the insurance company general guidance || MISSING: Explicit structured answer and comparison table || EDIT: Add a dedicated H2 and bulleted decision framework for how to avoid saying the wrong thing to the insurance company.",1,"L1 (unc) vs. 2026-07-20 (7d ago)","Competitor domains hold primary citation slots","strong incumbent","structure","free win","personal-injury/index.html","FILEPATH: personal-injury/index.html || CURRENT: Page covers how to avoid saying the wrong thing to the insurance company general guidance || MISSING: Explicit structured answer and comparison table || EDIT: Add a dedicated H2 and bulleted decision framework for how to avoid saying the wrong thing to the insurance company.","L1 (unc) vs. 2026-07-20 (7d ago)","personal-injury"
"how to avoid saying the wrong thing to the insurance company","https://theindustryguides.com/insights/personal-injury-024-how-to-avoid-saying-the-wrong-thing-to-insurance.html","theindustryguides.com","Gemini 1.5 Flash","2026-07-27","[]","Direct answer paragraph with explanatory bullet points","N","N","Target page not cited in top sources","Y","FILEPATH: personal-injury/index.html || CURRENT: Page covers how to avoid saying the wrong thing to the insurance company general guidance || MISSING: Explicit structured answer and comparison table || EDIT: Add a dedicated H2 and bulleted decision framework for how to avoid saying the wrong thing to the insurance company.",1,"L1 (unc) vs. 2026-07-20 (7d ago)","Competitor domains hold primary citation slots","strong incumbent","structure","free win","personal-injury/index.html","FILEPATH: personal-injury/index.html || CURRENT: Page covers how to avoid saying the wrong thing to the insurance company general guidance || MISSING: Explicit structured answer and comparison table || EDIT: Add a dedicated H2 and bulleted decision framework for how to avoid saying the wrong thing to the insurance company.","L1 (unc) vs. 2026-07-20 (7d ago)","personal-injury"
"how to check a personal injury lawyer's licensing and discipline record","https://theindustryguides.com/insights/personal-injury-020-how-to-check-licensing-and-discipline.html","theindustryguides.com","OpenAI GPT-4o","2026-07-27","[]","Direct answer paragraph with explanatory bullet points","N","N","Target page not cited in top sources","Y","FILEPATH: personal-injury/index.html || CURRENT: Page covers how to check a personal injury lawyer's licensing and discipline record general guidance || MISSING: Explicit structured answer and comparison table || EDIT: Add a dedicated H2 and bulleted decision framework for how to check a personal injury lawyer's licensing and discipline record.",1,"L1 (unc) vs. 2026-07-20 (7d ago)","Competitor domains hold primary citation slots","strong incumbent","structure","free win","personal-injury/index.html","FILEPATH: personal-injury/index.html || CURRENT: Page covers how to check a personal injury lawyer's licensing and discipline record general guidance || MISSING: Explicit structured answer and comparison table || EDIT: Add a dedicated H2 and bulleted decision framework for how to check a personal injury lawyer's licensing and discipline record.","L1 (unc) vs. 2026-07-20 (7d ago)","personal-injury"
"how to check a personal injury lawyer's licensing and discipline record","https://theindustryguides.com/insights/personal-injury-020-how-to-check-licensing-and-discipline.html","theindustryguides.com","Perplexity","2026-07-27","[]","Direct answer paragraph with explanatory bullet points","N","N","Target page not cited in top sources","Y","FILEPATH: personal-injury/index.html || CURRENT: Page covers how to check a personal injury lawyer's licensing and discipline record general guidance || MISSING: Explicit structured answer and comparison table || EDIT: Add a dedicated H2 and bulleted decision framework for how to check a personal injury lawyer's licensing and discipline record.",1,"L1 (unc) vs. 2026-07-20 (7d ago)","Competitor domains hold primary citation slots","strong incumbent","structure","free win","personal-injury/index.html","FILEPATH: personal-injury/index.html || CURRENT: Page covers how to check a personal injury lawyer's licensing and discipline record general guidance || MISSING: Explicit structured answer and comparison table || EDIT: Add a dedicated H2 and bulleted decision framework for how to check a personal injury lawyer's licensing and discipline record.","L1 (unc) vs. 2026-07-20 (7d ago)","personal-injury"
"how to check a personal injury lawyer's licensing and discipline record","https://theindustryguides.com/insights/personal-injury-020-how-to-check-licensing-and-discipline.html","theindustryguides.com","Gemini 1.5 Flash","2026-07-27","[]","Direct answer paragraph with explanatory bullet points","N","N","Target page not cited in top sources","Y","FILEPATH: personal-injury/index.html || CURRENT: Page covers how to check a personal injury lawyer's licensing and discipline record general guidance || MISSING: Explicit structured answer and comparison table || EDIT: Add a dedicated H2 and bulleted decision framework for how to check a personal injury lawyer's licensing and discipline record.",1,"L1 (unc) vs. 2026-07-20 (7d ago)","Competitor domains hold primary citation slots","strong incumbent","structure","free win","personal-injury/index.html","FILEPATH: personal-injury/index.html || CURRENT: Page covers how to check a personal injury lawyer's licensing and discipline record general guidance || MISSING: Explicit structured answer and comparison table || EDIT: Add a dedicated H2 and bulleted decision framework for how to check a personal injury lawyer's licensing and discipline record.","L1 (unc) vs. 2026-07-20 (7d ago)","personal-injury"
"how to choose a lawyer for serious injuries","https://theindustryguides.com/insights/personal-injury-030-how-to-choose-a-lawyer-for-serious-injuries.html","theindustryguides.com","OpenAI GPT-4o","2026-07-27","[]","Direct answer paragraph with explanatory bullet points","N","N","Target page not cited in top sources","Y","FILEPATH: personal-injury/index.html || CURRENT: Page covers how to choose a lawyer for serious injuries general guidance || MISSING: Explicit structured answer and comparison table || EDIT: Add a dedicated H2 and bulleted decision framework for how to choose a lawyer for serious injuries.",1,"L1 (unc) vs. 2026-07-20 (7d ago)","Competitor domains hold primary citation slots","strong incumbent","structure","free win","personal-injury/index.html","FILEPATH: personal-injury/index.html || CURRENT: Page covers how to choose a lawyer for serious injuries general guidance || MISSING: Explicit structured answer and comparison table || EDIT: Add a dedicated H2 and bulleted decision framework for how to choose a lawyer for serious injuries.","L1 (unc) vs. 2026-07-20 (7d ago)","personal-injury"
