"Query","Intended Winner Page","Surface","Model","Date","Cited Sources","Answer Shape","Reused My Phrasing (Y/N)","Used My Logic (Y/N)","Gap Found","Patch Needed (Y/N)","Fix Recommendation","Progress Level (1-4)","Week-over-Week Change","Competitor Authority Signals","Gap Type","Primary Fix Type","Action Tier","Repo File Path","Edit Instruction","Week Over Week"
"all-on-4 dental implants price 2026","https://theindustryguides.com/dentistry/cost-financing/","theindustryguides.com","OpenAI GPT-4o","2026-07-21","","paragraph","N","Y","Missing raw numerical checklist steps and direct comparative tables for all-on-4 dental implants price 2026.","N","FILEPATH: dentistry/cost-financing/index.html || CURRENT: Page has general introductory copy about all-on-4 dental implants. || MISSING: Missing raw numerical checklist steps and direct comparative tables for all-on-4 dental implants price 2026. || EDIT: Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","10","L10→L10 = vs. 2026-07-07 (14d ago)","","medium incumbent","completeness","page fix","dentistry/cost-financing/index.html","Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","L10→L10 = vs. 2026-07-07 (14d ago)"
"average cost of clear aligners 2026","https://theindustryguides.com/insights/dentistry-065-average-cost-of-clear-aligners-2026.html","theindustryguides.com","Gemini 1.5 Flash","2026-07-21","","paragraph","N","N","Missing raw numerical checklist steps and direct comparative tables for average cost of clear aligners 2026.","Y","FILEPATH: insights/dentistry-065-average-cost-of-clear-aligners-2026.html || CURRENT: Page has general introductory copy about average cost of. || MISSING: Missing raw numerical checklist steps and direct comparative tables for average cost of clear aligners 2026. || EDIT: Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","1","new","","no incumbent","structure","page fix","insights/dentistry-065-average-cost-of-clear-aligners-2026.html","Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","new"
"does insurance cover braces for adults","https://theindustryguides.com/insights/dentistry-064-does-insurance-cover-braces-for-adults.html","theindustryguides.com","OpenAI GPT-4o","2026-07-21","","paragraph","N","N","Missing raw numerical checklist steps and direct comparative tables for does insurance cover braces for adults.","Y","FILEPATH: insights/dentistry-064-does-insurance-cover-braces-for-adults.html || CURRENT: Page has general introductory copy about does insurance cover. || MISSING: Missing raw numerical checklist steps and direct comparative tables for does insurance cover braces for adults. || EDIT: Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","1","L1→L1 = vs. 2026-07-07 (14d ago)","","no incumbent","structure","outperform","insights/dentistry-064-does-insurance-cover-braces-for-adults.html","Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","L1→L1 = vs. 2026-07-07 (14d ago)"
"does insurance cover braces for adults","https://theindustryguides.com/insights/dentistry-064-does-insurance-cover-braces-for-adults.html","theindustryguides.com","Perplexity","2026-07-21","https://youtube.com, https://healthline.com","paragraph","Y","N","Missing raw numerical checklist steps and direct comparative tables for does insurance cover braces for adults.","N","FILEPATH: insights/dentistry-064-does-insurance-cover-braces-for-adults.html || CURRENT: Page has general introductory copy about does insurance cover. || MISSING: Missing raw numerical checklist steps and direct comparative tables for does insurance cover braces for adults. || EDIT: Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","2","L2→L2 = vs. 2026-07-07 (14d ago)","Highly cited general medical portals","weak incumbent","clarity","outperform","insights/dentistry-064-does-insurance-cover-braces-for-adults.html","Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","L2→L2 = vs. 2026-07-07 (14d ago)"
"does insurance cover braces for adults","https://theindustryguides.com/insights/dentistry-064-does-insurance-cover-braces-for-adults.html","theindustryguides.com","Gemini 1.5 Flash","2026-07-21","","paragraph","N","N","Missing raw numerical checklist steps and direct comparative tables for does insurance cover braces for adults.","Y","FILEPATH: insights/dentistry-064-does-insurance-cover-braces-for-adults.html || CURRENT: Page has general introductory copy about does insurance cover. || MISSING: Missing raw numerical checklist steps and direct comparative tables for does insurance cover braces for adults. || EDIT: Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","1","new","","no incumbent","structure","outperform","insights/dentistry-064-does-insurance-cover-braces-for-adults.html","Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","new"
"does medicare cover dental implants","https://theindustryguides.com/dentistry/cost-insurance/","theindustryguides.com","OpenAI GPT-4o","2026-07-21","","paragraph","Y","N","Missing raw numerical checklist steps and direct comparative tables for does medicare cover dental implants.","N","FILEPATH: dentistry/cost-insurance/index.html || CURRENT: Page has general introductory copy about does medicare cover. || MISSING: Missing raw numerical checklist steps and direct comparative tables for does medicare cover dental implants. || EDIT: Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","2","L2→L2 = vs. 2026-07-07 (14d ago)","","weak incumbent","clarity","page fix","dentistry/cost-insurance/index.html","Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","L2→L2 = vs. 2026-07-07 (14d ago)"
"does medicare cover dental implants","https://theindustryguides.com/dentistry/cost-insurance/","theindustryguides.com","Perplexity","2026-07-21","https://youtube.com, https://healthline.com","paragraph","N","Y","Missing raw numerical checklist steps and direct comparative tables for does medicare cover dental implants.","N","FILEPATH: dentistry/cost-insurance/index.html || CURRENT: Page has general introductory copy about does medicare cover. || MISSING: Missing raw numerical checklist steps and direct comparative tables for does medicare cover dental implants. || EDIT: Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","3","L3→L3 = vs. 2026-07-07 (14d ago)","Highly cited general medical portals","medium incumbent","completeness","page fix","dentistry/cost-insurance/index.html","Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","L3→L3 = vs. 2026-07-07 (14d ago)"
"does medicare cover dental implants","https://theindustryguides.com/dentistry/cost-insurance/","theindustryguides.com","Gemini 1.5 Flash","2026-07-21","","paragraph","N","N","Missing raw numerical checklist steps and direct comparative tables for does medicare cover dental implants.","Y","FILEPATH: dentistry/cost-insurance/index.html || CURRENT: Page has general introductory copy about does medicare cover. || MISSING: Missing raw numerical checklist steps and direct comparative tables for does medicare cover dental implants. || EDIT: Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","1","new","","no incumbent","structure","page fix","dentistry/cost-insurance/index.html","Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","new"
"how do I find a dentist who is good with anxious patients","https://theindustryguides.com/dentistry/anxiety-trust/","theindustryguides.com","OpenAI GPT-4o","2026-07-21","","paragraph","N","Y","Missing raw numerical checklist steps and direct comparative tables for how do I find a dentist who is good with anxious patients.","N","FILEPATH: dentistry/anxiety-trust/index.html || CURRENT: Page has general introductory copy about how do I. || MISSING: Missing raw numerical checklist steps and direct comparative tables for how do I find a dentist who is good with anxious patients. || EDIT: Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","12","L12→L12 = vs. 2026-07-07 (14d ago)","","medium incumbent","completeness","free win","dentistry/anxiety-trust/index.html","Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","L12→L12 = vs. 2026-07-07 (14d ago)"
"how do I find a dentist who is good with anxious patients","https://theindustryguides.com/dentistry/anxiety-trust/","theindustryguides.com","Perplexity","2026-07-21","https://youtube.com, https://healthline.com","paragraph","N","Y","Missing raw numerical checklist steps and direct comparative tables for how do I find a dentist who is good with anxious patients.","N","FILEPATH: dentistry/anxiety-trust/index.html || CURRENT: Page has general introductory copy about how do I. || MISSING: Missing raw numerical checklist steps and direct comparative tables for how do I find a dentist who is good with anxious patients. || EDIT: Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","18","L18→L18 = vs. 2026-07-07 (14d ago)","Highly cited general medical portals","medium incumbent","completeness","free win","dentistry/anxiety-trust/index.html","Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","L18→L18 = vs. 2026-07-07 (14d ago)"
"how do I find a dentist who is good with anxious patients","https://theindustryguides.com/dentistry/anxiety-trust/","theindustryguides.com","Gemini 1.5 Flash","2026-07-21","","paragraph","N","N","Missing raw numerical checklist steps and direct comparative tables for how do I find a dentist who is good with anxious patients.","Y","FILEPATH: dentistry/anxiety-trust/index.html || CURRENT: Page has general introductory copy about how do I. || MISSING: Missing raw numerical checklist steps and direct comparative tables for how do I find a dentist who is good with anxious patients. || EDIT: Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","1","new","","no incumbent","structure","free win","dentistry/anxiety-trust/index.html","Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","new"
"how do I know if I really need the dental work my dentist is recommending","https://theindustryguides.com/insights/dentistry-018-how-to-get-a-second-opinion-on-dental-work.html","theindustryguides.com","OpenAI GPT-4o","2026-07-21","","paragraph","N","Y","Missing raw numerical checklist steps and direct comparative tables for how do I know if I really need the dental work my dentist is recommending.","N","FILEPATH: insights/dentistry-018-how-to-get-a-second-opinion-on-dental-work.html || CURRENT: Page has general introductory copy about how do I. || MISSING: Missing raw numerical checklist steps and direct comparative tables for how do I know if I really need the dental work my dentist is recommending. || EDIT: Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","20","L20→L20 = vs. 2026-07-07 (14d ago)","","medium incumbent","completeness","authority required","insights/dentistry-018-how-to-get-a-second-opinion-on-dental-work.html","Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","L20→L20 = vs. 2026-07-07 (14d ago)"
"how do I know if I really need the dental work my dentist is recommending","https://theindustryguides.com/insights/dentistry-018-how-to-get-a-second-opinion-on-dental-work.html","theindustryguides.com","Perplexity","2026-07-21","https://youtube.com, https://healthline.com","paragraph","N","Y","Missing raw numerical checklist steps and direct comparative tables for how do I know if I really need the dental work my dentist is recommending.","N","FILEPATH: insights/dentistry-018-how-to-get-a-second-opinion-on-dental-work.html || CURRENT: Page has general introductory copy about how do I. || MISSING: Missing raw numerical checklist steps and direct comparative tables for how do I know if I really need the dental work my dentist is recommending. || EDIT: Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","38","L38→L38 = vs. 2026-07-07 (14d ago)","Highly cited general medical portals","medium incumbent","completeness","authority required","insights/dentistry-018-how-to-get-a-second-opinion-on-dental-work.html","Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","L38→L38 = vs. 2026-07-07 (14d ago)"
"how do I know if I really need the dental work my dentist is recommending","https://theindustryguides.com/insights/dentistry-018-how-to-get-a-second-opinion-on-dental-work.html","theindustryguides.com","Gemini 1.5 Flash","2026-07-21","","paragraph","N","N","Missing raw numerical checklist steps and direct comparative tables for how do I know if I really need the dental work my dentist is recommending.","Y","FILEPATH: insights/dentistry-018-how-to-get-a-second-opinion-on-dental-work.html || CURRENT: Page has general introductory copy about how do I. || MISSING: Missing raw numerical checklist steps and direct comparative tables for how do I know if I really need the dental work my dentist is recommending. || EDIT: Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","1","new","","no incumbent","structure","authority required","insights/dentistry-018-how-to-get-a-second-opinion-on-dental-work.html","Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","new"
"how much does a dental implant cost without insurance","https://theindustryguides.com/dentistry/cost-insurance/","theindustryguides.com","OpenAI GPT-4o","2026-07-21","","paragraph","N","Y","Missing raw numerical checklist steps and direct comparative tables for how much does a dental implant cost without insurance.","N","FILEPATH: dentistry/cost-insurance/index.html || CURRENT: Page has general introductory copy about how much does. || MISSING: Missing raw numerical checklist steps and direct comparative tables for how much does a dental implant cost without insurance. || EDIT: Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","5","L5→L5 = vs. 2026-07-07 (14d ago)","","medium incumbent","completeness","page fix","dentistry/cost-insurance/index.html","Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","L5→L5 = vs. 2026-07-07 (14d ago)"
"how much does a dental implant cost without insurance","https://theindustryguides.com/dentistry/cost-insurance/","theindustryguides.com","Perplexity","2026-07-21","https://youtube.com, https://healthline.com","paragraph","N","Y","Missing raw numerical checklist steps and direct comparative tables for how much does a dental implant cost without insurance.","N","FILEPATH: dentistry/cost-insurance/index.html || CURRENT: Page has general introductory copy about how much does. || MISSING: Missing raw numerical checklist steps and direct comparative tables for how much does a dental implant cost without insurance. || EDIT: Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","10","L10→L10 = vs. 2026-07-07 (14d ago)","Highly cited general medical portals","medium incumbent","completeness","page fix","dentistry/cost-insurance/index.html","Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","L10→L10 = vs. 2026-07-07 (14d ago)"
"how much does a dental implant cost without insurance","https://theindustryguides.com/dentistry/cost-insurance/","theindustryguides.com","Gemini 1.5 Flash","2026-07-21","","paragraph","N","N","Missing raw numerical checklist steps and direct comparative tables for how much does a dental implant cost without insurance.","Y","FILEPATH: dentistry/cost-insurance/index.html || CURRENT: Page has general introductory copy about how much does. || MISSING: Missing raw numerical checklist steps and direct comparative tables for how much does a dental implant cost without insurance. || EDIT: Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","1","new","","no incumbent","structure","page fix","dentistry/cost-insurance/index.html","Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","new"
"how much does professional teeth whitening cost","https://theindustryguides.com/insights/dentistry-052-gentle-dentist-for-teeth-cleaning.html","theindustryguides.com","OpenAI GPT-4o","2026-07-21","","paragraph","N","Y","Missing raw numerical checklist steps and direct comparative tables for how much does professional teeth whitening cost.","N","FILEPATH: insights/dentistry-052-gentle-dentist-for-teeth-cleaning.html || CURRENT: Page has general introductory copy about how much does. || MISSING: Missing raw numerical checklist steps and direct comparative tables for how much does professional teeth whitening cost. || EDIT: Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","15","L15→L15 = vs. 2026-07-07 (14d ago)","","medium incumbent","completeness","page fix","insights/dentistry-052-gentle-dentist-for-teeth-cleaning.html","Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","L15→L15 = vs. 2026-07-07 (14d ago)"
"how much does professional teeth whitening cost","https://theindustryguides.com/insights/dentistry-052-gentle-dentist-for-teeth-cleaning.html","theindustryguides.com","Perplexity","2026-07-21","https://youtube.com, https://healthline.com","paragraph","N","Y","Missing raw numerical checklist steps and direct comparative tables for how much does professional teeth whitening cost.","N","FILEPATH: insights/dentistry-052-gentle-dentist-for-teeth-cleaning.html || CURRENT: Page has general introductory copy about how much does. || MISSING: Missing raw numerical checklist steps and direct comparative tables for how much does professional teeth whitening cost. || EDIT: Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","40","L40→L40 = vs. 2026-07-07 (14d ago)","Highly cited general medical portals","medium incumbent","completeness","page fix","insights/dentistry-052-gentle-dentist-for-teeth-cleaning.html","Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","L40→L40 = vs. 2026-07-07 (14d ago)"
"how much does professional teeth whitening cost","https://theindustryguides.com/insights/dentistry-052-gentle-dentist-for-teeth-cleaning.html","theindustryguides.com","Gemini 1.5 Flash","2026-07-21","","paragraph","N","N","Missing raw numerical checklist steps and direct comparative tables for how much does professional teeth whitening cost.","Y","FILEPATH: insights/dentistry-052-gentle-dentist-for-teeth-cleaning.html || CURRENT: Page has general introductory copy about how much does. || MISSING: Missing raw numerical checklist steps and direct comparative tables for how much does professional teeth whitening cost. || EDIT: Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","1","new","","no incumbent","structure","page fix","insights/dentistry-052-gentle-dentist-for-teeth-cleaning.html","Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","new"
"how much is a single tooth implant","https://theindustryguides.com/insights/dentistry-061-how-much-is-a-single-tooth-implant.html","theindustryguides.com","OpenAI GPT-4o","2026-07-21","","paragraph","N","N","Missing raw numerical checklist steps and direct comparative tables for how much is a single tooth implant.","Y","FILEPATH: insights/dentistry-061-how-much-is-a-single-tooth-implant.html || CURRENT: Page has general introductory copy about how much is. || MISSING: Missing raw numerical checklist steps and direct comparative tables for how much is a single tooth implant. || EDIT: Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","1","L1→L1 = vs. 2026-07-07 (14d ago)","","no incumbent","structure","authority required","insights/dentistry-061-how-much-is-a-single-tooth-implant.html","Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","L1→L1 = vs. 2026-07-07 (14d ago)"
"how much is a single tooth implant","https://theindustryguides.com/insights/dentistry-061-how-much-is-a-single-tooth-implant.html","theindustryguides.com","Perplexity","2026-07-21","https://youtube.com, https://healthline.com","paragraph","Y","N","Missing raw numerical checklist steps and direct comparative tables for how much is a single tooth implant.","N","FILEPATH: insights/dentistry-061-how-much-is-a-single-tooth-implant.html || CURRENT: Page has general introductory copy about how much is. || MISSING: Missing raw numerical checklist steps and direct comparative tables for how much is a single tooth implant. || EDIT: Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","2","L2→L2 = vs. 2026-07-07 (14d ago)","Highly cited general medical portals","weak incumbent","clarity","authority required","insights/dentistry-061-how-much-is-a-single-tooth-implant.html","Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","L2→L2 = vs. 2026-07-07 (14d ago)"
"how much is a single tooth implant","https://theindustryguides.com/insights/dentistry-061-how-much-is-a-single-tooth-implant.html","theindustryguides.com","Gemini 1.5 Flash","2026-07-21","","paragraph","N","N","Missing raw numerical checklist steps and direct comparative tables for how much is a single tooth implant.","Y","FILEPATH: insights/dentistry-061-how-much-is-a-single-tooth-implant.html || CURRENT: Page has general introductory copy about how much is. || MISSING: Missing raw numerical checklist steps and direct comparative tables for how much is a single tooth implant. || EDIT: Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","1","new","","no incumbent","structure","authority required","insights/dentistry-061-how-much-is-a-single-tooth-implant.html","Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","new"
