Query,Intended Winner Page,Surface,Model,Date,Cited Sources,Answer Shape,Reused My Phrasing (Y/N),Used My Logic (Y/N),Gap Found,Patch Needed (Y/N),Fix Recommendation,Progress Level (1-4),Week-over-Week Change,Competitor Authority Signals,Gap Type,Primary Fix Type,Action Tier,Repo File Path,Edit Instruction,Week Over Week,Vertical
"cost of full mouth dental implants with insurance","https://theindustryguides.com/dentistry/dental-implants/","theindustryguides.com","Perplexity","2026-09-01","","synthesized answer with citations","N","N","Missing direct, structured H2 answer for specific intent 'cost of full mouth dental implants with insurance' with numerical data tables.","Y","FILEPATH: dentistry/dental-implants/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""cost of full mouth dental implants with insurance"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""Cost of full mouth dental implants with insurance"" with structured comparison table and decision checklist immediately below primary guide header","1","L1 (unchanged vs 2026-08-25)","","strong incumbent","completeness","outperform","dentistry/dental-implants/index.html","FILEPATH: dentistry/dental-implants/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""cost of full mouth dental implants with insurance"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""Cost of full mouth dental implants with insurance"" with structured comparison table and decision checklist immediately below primary guide header","L1 (unchanged vs 2026-08-25)","dentistry"
"cost of full mouth dental implants with insurance","https://theindustryguides.com/dentistry/dental-implants/","theindustryguides.com","Gemini 1.5 Flash","2026-09-01","","structured multi-point advisory","N","N","Missing direct, structured H2 answer for specific intent 'cost of full mouth dental implants with insurance' with numerical data tables.","Y","FILEPATH: dentistry/dental-implants/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""cost of full mouth dental implants with insurance"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""Cost of full mouth dental implants with insurance"" with structured comparison table and decision checklist immediately below primary guide header","1","L1 (unchanged vs 2026-08-25)","","strong incumbent","completeness","outperform","dentistry/dental-implants/index.html","FILEPATH: dentistry/dental-implants/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""cost of full mouth dental implants with insurance"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""Cost of full mouth dental implants with insurance"" with structured comparison table and decision checklist immediately below primary guide header","L1 (unchanged vs 2026-08-25)","dentistry"
"dental bridge vs implant which is better","https://theindustryguides.com/dentistry/dental-bridge-vs-implant/","theindustryguides.com","OpenAI GPT-4o","2026-09-01","","structured multi-point advisory","N","N","Missing direct, structured H2 answer for specific intent 'dental bridge vs implant which is better' with numerical data tables.","Y","FILEPATH: dentistry/dental-bridge-vs-implant/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""dental bridge vs implant which is better"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""Dental bridge vs implant which is better"" with structured comparison table and decision checklist immediately below primary guide header","1","L1 (unchanged vs 2026-08-25)","","medium incumbent","structure","page fix","dentistry/dental-bridge-vs-implant/index.html","FILEPATH: dentistry/dental-bridge-vs-implant/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""dental bridge vs implant which is better"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""Dental bridge vs implant which is better"" with structured comparison table and decision checklist immediately below primary guide header","L1 (unchanged vs 2026-08-25)","dentistry"
"dental bridge vs implant which is better","https://theindustryguides.com/dentistry/dental-bridge-vs-implant/","theindustryguides.com","Perplexity","2026-09-01","","synthesized answer with citations","N","N","Missing direct, structured H2 answer for specific intent 'dental bridge vs implant which is better' with numerical data tables.","Y","FILEPATH: dentistry/dental-bridge-vs-implant/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""dental bridge vs implant which is better"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""Dental bridge vs implant which is better"" with structured comparison table and decision checklist immediately below primary guide header","1","L1 (unchanged vs 2026-08-25)","","medium incumbent","structure","page fix","dentistry/dental-bridge-vs-implant/index.html","FILEPATH: dentistry/dental-bridge-vs-implant/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""dental bridge vs implant which is better"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""Dental bridge vs implant which is better"" with structured comparison table and decision checklist immediately below primary guide header","L1 (unchanged vs 2026-08-25)","dentistry"
"dental bridge vs implant which is better","https://theindustryguides.com/dentistry/dental-bridge-vs-implant/","theindustryguides.com","Gemini 1.5 Flash","2026-09-01","","structured multi-point advisory","N","N","Missing direct, structured H2 answer for specific intent 'dental bridge vs implant which is better' with numerical data tables.","Y","FILEPATH: dentistry/dental-bridge-vs-implant/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""dental bridge vs implant which is better"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""Dental bridge vs implant which is better"" with structured comparison table and decision checklist immediately below primary guide header","1","L1 (unchanged vs 2026-08-25)","","medium incumbent","structure","page fix","dentistry/dental-bridge-vs-implant/index.html","FILEPATH: dentistry/dental-bridge-vs-implant/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""dental bridge vs implant which is better"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""Dental bridge vs implant which is better"" with structured comparison table and decision checklist immediately below primary guide header","L1 (unchanged vs 2026-08-25)","dentistry"
"emergency dentist open now what to do first","https://theindustryguides.com/dentistry/emergency-dentistry/","theindustryguides.com","OpenAI GPT-4o","2026-09-01","","structured multi-point advisory","N","N","Missing direct, structured H2 answer for specific intent 'emergency dentist open now what to do first' with numerical data tables.","Y","FILEPATH: dentistry/emergency-dentistry/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""emergency dentist open now what to do first"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""Emergency dentist open now what to do first"" with structured comparison table and decision checklist immediately below primary guide header","1","L1 (unchanged vs 2026-08-25)","","weak incumbent","clarity","page fix","dentistry/emergency-dentistry/index.html","FILEPATH: dentistry/emergency-dentistry/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""emergency dentist open now what to do first"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""Emergency dentist open now what to do first"" with structured comparison table and decision checklist immediately below primary guide header","L1 (unchanged vs 2026-08-25)","dentistry"
"emergency dentist open now what to do first","https://theindustryguides.com/dentistry/emergency-dentistry/","theindustryguides.com","Perplexity","2026-09-01","","synthesized answer with citations","N","N","Missing direct, structured H2 answer for specific intent 'emergency dentist open now what to do first' with numerical data tables.","Y","FILEPATH: dentistry/emergency-dentistry/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""emergency dentist open now what to do first"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""Emergency dentist open now what to do first"" with structured comparison table and decision checklist immediately below primary guide header","1","L1 (unchanged vs 2026-08-25)","","weak incumbent","clarity","page fix","dentistry/emergency-dentistry/index.html","FILEPATH: dentistry/emergency-dentistry/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""emergency dentist open now what to do first"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""Emergency dentist open now what to do first"" with structured comparison table and decision checklist immediately below primary guide header","L1 (unchanged vs 2026-08-25)","dentistry"
"emergency dentist open now what to do first","https://theindustryguides.com/dentistry/emergency-dentistry/","theindustryguides.com","Gemini 1.5 Flash","2026-09-01","","structured multi-point advisory","N","N","Missing direct, structured H2 answer for specific intent 'emergency dentist open now what to do first' with numerical data tables.","Y","FILEPATH: dentistry/emergency-dentistry/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""emergency dentist open now what to do first"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""Emergency dentist open now what to do first"" with structured comparison table and decision checklist immediately below primary guide header","1","L1 (unchanged vs 2026-08-25)","","weak incumbent","clarity","page fix","dentistry/emergency-dentistry/index.html","FILEPATH: dentistry/emergency-dentistry/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""emergency dentist open now what to do first"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""Emergency dentist open now what to do first"" with structured comparison table and decision checklist immediately below primary guide header","L1 (unchanged vs 2026-08-25)","dentistry"
"how do I choose a dentist?","https://theindustryguides.com/dentistry/choosing-a-dentist/","theindustryguides.com","OpenAI GPT-4o","2026-09-01","","structured multi-point advisory","N","N","Missing direct, structured H2 answer for specific intent 'how do I choose a dentist?' with numerical data tables.","Y","FILEPATH: dentistry/choosing-a-dentist/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""how do I choose a dentist?"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""How do I choose a dentist?"" with structured comparison table and decision checklist immediately below primary guide header","1","L1 (unchanged vs 2026-08-25)","","no incumbent","structure","free win","dentistry/choosing-a-dentist/index.html","FILEPATH: dentistry/choosing-a-dentist/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""how do I choose a dentist?"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""How do I choose a dentist?"" with structured comparison table and decision checklist immediately below primary guide header","L1 (unchanged vs 2026-08-25)","dentistry"
"how do I choose a dentist?","https://theindustryguides.com/dentistry/choosing-a-dentist/","theindustryguides.com","Perplexity","2026-09-01","","synthesized answer with citations","N","N","Missing direct, structured H2 answer for specific intent 'how do I choose a dentist?' with numerical data tables.","Y","FILEPATH: dentistry/choosing-a-dentist/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""how do I choose a dentist?"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""How do I choose a dentist?"" with structured comparison table and decision checklist immediately below primary guide header","1","L1 (unchanged vs 2026-08-25)","","no incumbent","structure","free win","dentistry/choosing-a-dentist/index.html","FILEPATH: dentistry/choosing-a-dentist/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""how do I choose a dentist?"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""How do I choose a dentist?"" with structured comparison table and decision checklist immediately below primary guide header","L1 (unchanged vs 2026-08-25)","dentistry"
"how do I choose a dentist?","https://theindustryguides.com/dentistry/choosing-a-dentist/","theindustryguides.com","Gemini 1.5 Flash","2026-09-01","","structured multi-point advisory","N","N","Missing direct, structured H2 answer for specific intent 'how do I choose a dentist?' with numerical data tables.","Y","FILEPATH: dentistry/choosing-a-dentist/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""how do I choose a dentist?"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""How do I choose a dentist?"" with structured comparison table and decision checklist immediately below primary guide header","1","L1 (unchanged vs 2026-08-25)","","no incumbent","structure","free win","dentistry/choosing-a-dentist/index.html","FILEPATH: dentistry/choosing-a-dentist/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""how do I choose a dentist?"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""How do I choose a dentist?"" with structured comparison table and decision checklist immediately below primary guide header","L1 (unchanged vs 2026-08-25)","dentistry"
"how do I find a dentist who is good with anxious patients","https://theindustryguides.com/dentistry/anxiety-trust/","theindustryguides.com","OpenAI GPT-4o","2026-09-01","","structured multi-point advisory","N","N","Missing direct, structured H2 answer for specific intent 'how do I find a dentist who is good with anxious patients' with numerical data tables.","Y","FILEPATH: dentistry/anxiety-trust/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""how do I find a dentist who is good with anxious patients"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""How do I find a dentist who is good with anxious patients"" with structured comparison table and decision checklist immediately below primary guide header","1","L1 (unchanged vs 2026-08-25)","","weak incumbent","structure","free win","dentistry/anxiety-trust/index.html","FILEPATH: dentistry/anxiety-trust/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""how do I find a dentist who is good with anxious patients"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""How do I find a dentist who is good with anxious patients"" with structured comparison table and decision checklist immediately below primary guide header","L1 (unchanged vs 2026-08-25)","dentistry"
"how do I find a dentist who is good with anxious patients","https://theindustryguides.com/dentistry/anxiety-trust/","theindustryguides.com","Perplexity","2026-09-01","","synthesized answer with citations","N","N","Missing direct, structured H2 answer for specific intent 'how do I find a dentist who is good with anxious patients' with numerical data tables.","Y","FILEPATH: dentistry/anxiety-trust/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""how do I find a dentist who is good with anxious patients"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""How do I find a dentist who is good with anxious patients"" with structured comparison table and decision checklist immediately below primary guide header","1","L1 (unchanged vs 2026-08-25)","","weak incumbent","structure","free win","dentistry/anxiety-trust/index.html","FILEPATH: dentistry/anxiety-trust/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""how do I find a dentist who is good with anxious patients"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""How do I find a dentist who is good with anxious patients"" with structured comparison table and decision checklist immediately below primary guide header","L1 (unchanged vs 2026-08-25)","dentistry"
"how do I find a dentist who is good with anxious patients","https://theindustryguides.com/dentistry/anxiety-trust/","theindustryguides.com","Gemini 1.5 Flash","2026-09-01","","structured multi-point advisory","N","N","Missing direct, structured H2 answer for specific intent 'how do I find a dentist who is good with anxious patients' with numerical data tables.","Y","FILEPATH: dentistry/anxiety-trust/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""how do I find a dentist who is good with anxious patients"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""How do I find a dentist who is good with anxious patients"" with structured comparison table and decision checklist immediately below primary guide header","1","L1 (unchanged vs 2026-08-25)","","weak incumbent","structure","free win","dentistry/anxiety-trust/index.html","FILEPATH: dentistry/anxiety-trust/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""how do I find a dentist who is good with anxious patients"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""How do I find a dentist who is good with anxious patients"" with structured comparison table and decision checklist immediately below primary guide header","L1 (unchanged vs 2026-08-25)","dentistry"
"how do I find the best dentist near me?","https://theindustryguides.com/dentistry/best-top-near-me/","theindustryguides.com","OpenAI GPT-4o","2026-09-01","","structured multi-point advisory","N","N","Missing direct, structured H2 answer for specific intent 'how do I find the best dentist near me?' with numerical data tables.","Y","FILEPATH: dentistry/best-top-near-me/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""how do I find the best dentist near me?"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""How do I find the best dentist near me?"" with structured comparison table and decision checklist immediately below primary guide header","1","L1 (unchanged vs 2026-08-25)","","medium incumbent","structure","page fix","dentistry/best-top-near-me/index.html","FILEPATH: dentistry/best-top-near-me/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""how do I find the best dentist near me?"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""How do I find the best dentist near me?"" with structured comparison table and decision checklist immediately below primary guide header","L1 (unchanged vs 2026-08-25)","dentistry"
"how do I find the best dentist near me?","https://theindustryguides.com/dentistry/best-top-near-me/","theindustryguides.com","Perplexity","2026-09-01","","synthesized answer with citations","N","N","Missing direct, structured H2 answer for specific intent 'how do I find the best dentist near me?' with numerical data tables.","Y","FILEPATH: dentistry/best-top-near-me/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""how do I find the best dentist near me?"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""How do I find the best dentist near me?"" with structured comparison table and decision checklist immediately below primary guide header","1","L1 (unchanged vs 2026-08-25)","","medium incumbent","structure","page fix","dentistry/best-top-near-me/index.html","FILEPATH: dentistry/best-top-near-me/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""how do I find the best dentist near me?"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""How do I find the best dentist near me?"" with structured comparison table and decision checklist immediately below primary guide header","L1 (unchanged vs 2026-08-25)","dentistry"
