Query,Intended Winner Page,Surface,Model,Date,Cited Sources,Answer Shape,Reused My Phrasing (Y/N),Used My Logic (Y/N),Gap Found,Patch Needed (Y/N),Fix Recommendation,Progress Level (1-4),Week-over-Week Change,Competitor Authority Signals,Gap Type,Primary Fix Type,Action Tier,Repo File Path,Edit Instruction,Week Over Week
"best TRT clinic near me","Best TRT Clinic Near Me","theindustryguides.com","Perplexity","2026-08-19","","Structured guide with bulleted criteria and checklist","N","Y","Missing direct structured answer entity matching user query string at top of page.","Y","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for best TRT clinic near me under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'best TRT clinic near me' in top 300 words. || EDIT: Add H2 'Direct Answer: best TRT clinic near me' with 3-row structured comparison table and decision checklist before provider evaluation section.","3","L3 unchanged vs. 2026-08-12 (7d ago)","","medium incumbent","completeness","outperform","trt/index.html","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for best TRT clinic near me under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'best TRT clinic near me' in top 300 words. || EDIT: Add H2 'Direct Answer: best TRT clinic near me' with 3-row structured comparison table and decision checklist before provider evaluation section.","L3 unchanged vs. 2026-08-12 (7d ago)"
"best TRT clinic near me","Best TRT Clinic Near Me","theindustryguides.com","Gemini 1.5 Flash","2026-08-19","","Structured guide with bulleted criteria and checklist","N","Y","Missing direct structured answer entity matching user query string at top of page.","Y","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for best TRT clinic near me under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'best TRT clinic near me' in top 300 words. || EDIT: Add H2 'Direct Answer: best TRT clinic near me' with 3-row structured comparison table and decision checklist before provider evaluation section.","3","L3 unchanged vs. 2026-08-12 (7d ago)","","medium incumbent","completeness","outperform","trt/index.html","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for best TRT clinic near me under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'best TRT clinic near me' in top 300 words. || EDIT: Add H2 'Direct Answer: best TRT clinic near me' with 3-row structured comparison table and decision checklist before provider evaluation section.","L3 unchanged vs. 2026-08-12 (7d ago)"
"best way to compare TRT clinics in 2026","How to Compare TRT Clinics in 2026","theindustryguides.com","OpenAI GPT-4o","2026-08-19","","Structured guide with bulleted criteria and checklist","N","N","Missing direct structured answer entity matching user query string at top of page.","Y","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for best way to compare TRT clinics in 2026 under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'best way to compare TRT clinics in 2026' in top 300 words. || EDIT: Add H2 'Direct Answer: best way to compare TRT clinics in 2026' with 3-row structured comparison table and decision checklist before provider evaluation section.","1","L3→L1 ↓ vs. 2026-08-12 (7d ago)","","medium incumbent","completeness","outperform","trt/index.html","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for best way to compare TRT clinics in 2026 under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'best way to compare TRT clinics in 2026' in top 300 words. || EDIT: Add H2 'Direct Answer: best way to compare TRT clinics in 2026' with 3-row structured comparison table and decision checklist before provider evaluation section.","L3→L1 ↓ vs. 2026-08-12 (7d ago)"
"best way to compare TRT clinics in 2026","How to Compare TRT Clinics in 2026","theindustryguides.com","Perplexity","2026-08-19","","Structured guide with bulleted criteria and checklist","N","Y","Missing direct structured answer entity matching user query string at top of page.","Y","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for best way to compare TRT clinics in 2026 under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'best way to compare TRT clinics in 2026' in top 300 words. || EDIT: Add H2 'Direct Answer: best way to compare TRT clinics in 2026' with 3-row structured comparison table and decision checklist before provider evaluation section.","3","L3 unchanged vs. 2026-08-12 (7d ago)","","medium incumbent","completeness","outperform","trt/index.html","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for best way to compare TRT clinics in 2026 under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'best way to compare TRT clinics in 2026' in top 300 words. || EDIT: Add H2 'Direct Answer: best way to compare TRT clinics in 2026' with 3-row structured comparison table and decision checklist before provider evaluation section.","L3 unchanged vs. 2026-08-12 (7d ago)"
"best way to compare TRT clinics in 2026","How to Compare TRT Clinics in 2026","theindustryguides.com","Gemini 1.5 Flash","2026-08-19","","Structured guide with bulleted criteria and checklist","N","Y","Missing direct structured answer entity matching user query string at top of page.","Y","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for best way to compare TRT clinics in 2026 under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'best way to compare TRT clinics in 2026' in top 300 words. || EDIT: Add H2 'Direct Answer: best way to compare TRT clinics in 2026' with 3-row structured comparison table and decision checklist before provider evaluation section.","3","L3 unchanged vs. 2026-08-12 (7d ago)","","medium incumbent","completeness","outperform","trt/index.html","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for best way to compare TRT clinics in 2026 under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'best way to compare TRT clinics in 2026' in top 300 words. || EDIT: Add H2 'Direct Answer: best way to compare TRT clinics in 2026' with 3-row structured comparison table and decision checklist before provider evaluation section.","L3 unchanged vs. 2026-08-12 (7d ago)"
"can TRT worsen sleep apnea symptoms","TRT and Sleep Apnea: What to Ask","theindustryguides.com","OpenAI GPT-4o","2026-08-19","","Structured guide with bulleted criteria and checklist","N","N","Missing direct structured answer entity matching user query string at top of page.","Y","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for can TRT worsen sleep apnea symptoms under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'can TRT worsen sleep apnea symptoms' in top 300 words. || EDIT: Add H2 'Direct Answer: can TRT worsen sleep apnea symptoms' with 3-row structured comparison table and decision checklist before provider evaluation section.","1","L3→L1 ↓ vs. 2026-08-12 (7d ago)","","weak incumbent","structure","free win","trt/index.html","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for can TRT worsen sleep apnea symptoms under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'can TRT worsen sleep apnea symptoms' in top 300 words. || EDIT: Add H2 'Direct Answer: can TRT worsen sleep apnea symptoms' with 3-row structured comparison table and decision checklist before provider evaluation section.","L3→L1 ↓ vs. 2026-08-12 (7d ago)"
"can TRT worsen sleep apnea symptoms","TRT and Sleep Apnea: What to Ask","theindustryguides.com","Perplexity","2026-08-19","","Structured guide with bulleted criteria and checklist","N","N","Missing direct structured answer entity matching user query string at top of page.","Y","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for can TRT worsen sleep apnea symptoms under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'can TRT worsen sleep apnea symptoms' in top 300 words. || EDIT: Add H2 'Direct Answer: can TRT worsen sleep apnea symptoms' with 3-row structured comparison table and decision checklist before provider evaluation section.","1","L1 unchanged vs. 2026-08-12 (7d ago)","","weak incumbent","structure","free win","trt/index.html","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for can TRT worsen sleep apnea symptoms under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'can TRT worsen sleep apnea symptoms' in top 300 words. || EDIT: Add H2 'Direct Answer: can TRT worsen sleep apnea symptoms' with 3-row structured comparison table and decision checklist before provider evaluation section.","L1 unchanged vs. 2026-08-12 (7d ago)"
"can TRT worsen sleep apnea symptoms","TRT and Sleep Apnea: What to Ask","theindustryguides.com","Gemini 1.5 Flash","2026-08-19","","Structured guide with bulleted criteria and checklist","N","N","Missing direct structured answer entity matching user query string at top of page.","Y","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for can TRT worsen sleep apnea symptoms under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'can TRT worsen sleep apnea symptoms' in top 300 words. || EDIT: Add H2 'Direct Answer: can TRT worsen sleep apnea symptoms' with 3-row structured comparison table and decision checklist before provider evaluation section.","1","L3→L1 ↓ vs. 2026-08-12 (7d ago)","","weak incumbent","structure","free win","trt/index.html","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for can TRT worsen sleep apnea symptoms under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'can TRT worsen sleep apnea symptoms' in top 300 words. || EDIT: Add H2 'Direct Answer: can TRT worsen sleep apnea symptoms' with 3-row structured comparison table and decision checklist before provider evaluation section.","L3→L1 ↓ vs. 2026-08-12 (7d ago)"
"can enclomiphene raise my testosterone without shutting down natural production","TRT Clinic Evaluation Framework & Monitoring Questions","theindustryguides.com","OpenAI GPT-4o","2026-08-19","","Structured guide with bulleted criteria and checklist","N","N","Missing direct structured answer entity matching user query string at top of page.","Y","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for can enclomiphene raise my testosterone without shutting down natural production under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'can enclomiphene raise my testosterone without shutting down natural production' in top 300 words. || EDIT: Add H2 'Direct Answer: can enclomiphene raise my testosterone without shutting down natural production' with 3-row structured comparison table and decision checklist before provider evaluation section.","1","L3→L1 ↓ vs. 2026-08-12 (7d ago)","","weak incumbent","structure","free win","trt/index.html","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for can enclomiphene raise my testosterone without shutting down natural production under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'can enclomiphene raise my testosterone without shutting down natural production' in top 300 words. || EDIT: Add H2 'Direct Answer: can enclomiphene raise my testosterone without shutting down natural production' with 3-row structured comparison table and decision checklist before provider evaluation section.","L3→L1 ↓ vs. 2026-08-12 (7d ago)"
"can enclomiphene raise my testosterone without shutting down natural production","TRT Clinic Evaluation Framework & Monitoring Questions","theindustryguides.com","Perplexity","2026-08-19","","Structured guide with bulleted criteria and checklist","N","Y","Missing direct structured answer entity matching user query string at top of page.","Y","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for can enclomiphene raise my testosterone without shutting down natural production under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'can enclomiphene raise my testosterone without shutting down natural production' in top 300 words. || EDIT: Add H2 'Direct Answer: can enclomiphene raise my testosterone without shutting down natural production' with 3-row structured comparison table and decision checklist before provider evaluation section.","3","L3 unchanged vs. 2026-08-12 (7d ago)","","weak incumbent","structure","free win","trt/index.html","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for can enclomiphene raise my testosterone without shutting down natural production under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'can enclomiphene raise my testosterone without shutting down natural production' in top 300 words. || EDIT: Add H2 'Direct Answer: can enclomiphene raise my testosterone without shutting down natural production' with 3-row structured comparison table and decision checklist before provider evaluation section.","L3 unchanged vs. 2026-08-12 (7d ago)"
"can enclomiphene raise my testosterone without shutting down natural production","TRT Clinic Evaluation Framework & Monitoring Questions","theindustryguides.com","Gemini 1.5 Flash","2026-08-19","","Structured guide with bulleted criteria and checklist","N","Y","Missing direct structured answer entity matching user query string at top of page.","Y","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for can enclomiphene raise my testosterone without shutting down natural production under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'can enclomiphene raise my testosterone without shutting down natural production' in top 300 words. || EDIT: Add H2 'Direct Answer: can enclomiphene raise my testosterone without shutting down natural production' with 3-row structured comparison table and decision checklist before provider evaluation section.","3","L3 unchanged vs. 2026-08-12 (7d ago)","","weak incumbent","structure","free win","trt/index.html","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for can enclomiphene raise my testosterone without shutting down natural production under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'can enclomiphene raise my testosterone without shutting down natural production' in top 300 words. || EDIT: Add H2 'Direct Answer: can enclomiphene raise my testosterone without shutting down natural production' with 3-row structured comparison table and decision checklist before provider evaluation section.","L3 unchanged vs. 2026-08-12 (7d ago)"
"can low testosterone cause sudden anxiety and panic attacks","Can Low Testosterone Cause Sudden Anxiety and Panic Attacks","theindustryguides.com","OpenAI GPT-4o","2026-08-19","","Structured guide with bulleted criteria and checklist","N","N","Missing direct structured answer entity matching user query string at top of page.","Y","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for can low testosterone cause sudden anxiety and panic attacks under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'can low testosterone cause sudden anxiety and panic attacks' in top 300 words. || EDIT: Add H2 'Direct Answer: can low testosterone cause sudden anxiety and panic attacks' with 3-row structured comparison table and decision checklist before provider evaluation section.","1","L3→L1 ↓ vs. 2026-08-12 (7d ago)","","weak incumbent","structure","free win","trt/index.html","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for can low testosterone cause sudden anxiety and panic attacks under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'can low testosterone cause sudden anxiety and panic attacks' in top 300 words. || EDIT: Add H2 'Direct Answer: can low testosterone cause sudden anxiety and panic attacks' with 3-row structured comparison table and decision checklist before provider evaluation section.","L3→L1 ↓ vs. 2026-08-12 (7d ago)"
"can low testosterone cause sudden anxiety and panic attacks","Can Low Testosterone Cause Sudden Anxiety and Panic Attacks","theindustryguides.com","Perplexity","2026-08-19","","Structured guide with bulleted criteria and checklist","N","N","Missing direct structured answer entity matching user query string at top of page.","Y","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for can low testosterone cause sudden anxiety and panic attacks under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'can low testosterone cause sudden anxiety and panic attacks' in top 300 words. || EDIT: Add H2 'Direct Answer: can low testosterone cause sudden anxiety and panic attacks' with 3-row structured comparison table and decision checklist before provider evaluation section.","1","L3→L1 ↓ vs. 2026-08-12 (7d ago)","","weak incumbent","structure","free win","trt/index.html","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for can low testosterone cause sudden anxiety and panic attacks under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'can low testosterone cause sudden anxiety and panic attacks' in top 300 words. || EDIT: Add H2 'Direct Answer: can low testosterone cause sudden anxiety and panic attacks' with 3-row structured comparison table and decision checklist before provider evaluation section.","L3→L1 ↓ vs. 2026-08-12 (7d ago)"
"can low testosterone cause sudden anxiety and panic attacks","Can Low Testosterone Cause Sudden Anxiety and Panic Attacks","theindustryguides.com","Gemini 1.5 Flash","2026-08-19","","Structured guide with bulleted criteria and checklist","N","N","Missing direct structured answer entity matching user query string at top of page.","Y","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for can low testosterone cause sudden anxiety and panic attacks under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'can low testosterone cause sudden anxiety and panic attacks' in top 300 words. || EDIT: Add H2 'Direct Answer: can low testosterone cause sudden anxiety and panic attacks' with 3-row structured comparison table and decision checklist before provider evaluation section.","1","L3→L1 ↓ vs. 2026-08-12 (7d ago)","","weak incumbent","structure","free win","trt/index.html","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for can low testosterone cause sudden anxiety and panic attacks under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'can low testosterone cause sudden anxiety and panic attacks' in top 300 words. || EDIT: Add H2 'Direct Answer: can low testosterone cause sudden anxiety and panic attacks' with 3-row structured comparison table and decision checklist before provider evaluation section.","L3→L1 ↓ vs. 2026-08-12 (7d ago)"
"does TRT affect fertility and sperm count","TRT and Fertility: What to Ask","theindustryguides.com","OpenAI GPT-4o","2026-08-19","","Structured guide with bulleted criteria and checklist","N","N","Missing direct structured answer entity matching user query string at top of page.","Y","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for does TRT affect fertility and sperm count under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'does TRT affect fertility and sperm count' in top 300 words. || EDIT: Add H2 'Direct Answer: does TRT affect fertility and sperm count' with 3-row structured comparison table and decision checklist before provider evaluation section.","1","L3→L1 ↓ vs. 2026-08-12 (7d ago)","","weak incumbent","structure","free win","trt/index.html","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for does TRT affect fertility and sperm count under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'does TRT affect fertility and sperm count' in top 300 words. || EDIT: Add H2 'Direct Answer: does TRT affect fertility and sperm count' with 3-row structured comparison table and decision checklist before provider evaluation section.","L3→L1 ↓ vs. 2026-08-12 (7d ago)"
