Query,Intended Winner Page,Surface,Model,Date,Cited Sources,Answer Shape,Reused My Phrasing (Y/N),Used My Logic (Y/N),Gap Found,Patch Needed (Y/N),Fix Recommendation,Progress Level (1-4),Week-over-Week Change,Competitor Authority Signals,Gap Type,Primary Fix Type,Action Tier,Repo File Path,Edit Instruction,Week Over Week
"cost of full mouth dental implants with insurance","https://theindustryguides.com/dentistry/dental-implants/","","Perplexity","2026-08-25","https://mydentalplusclinic.com/cost-of-dental-implants-with-insurance/, https://www.aspendental.com/dental-implants/full-mouth-dental-implants/full-mouth-dental-implants-cost/, https://www.metlife.com/oralfitnesslibrary/dental-treatments/how-much-do-dental-implants-cost/, https://www.deltadental.com/protect-my-smile/procedures/dental-implant/treatment-cost, https://www.affordabledentures.com/blog/full-mouth-dental-implants","numbered_list","N","N","LLM used generic authority sources; missing concise on-page answer block for ""cost of full mouth dental implants with insurance""","Y","FILEPATH: dentistry/dental-implants/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""cost of full mouth dental implants with insurance"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""Cost of full mouth dental implants with insurance"" with structured table and bulleted checklist immediately below primary guide header","1","L1 = vs. 2026-08-18 (7d ago)","https://mydentalplusclinic.com/cost-of-dental-implants-with-insurance/, https://www.aspendental.com/dental-implants/full-mouth-dental-implants/full-mouth-dental-implants-cost/, https://www.metlife.com/oralfitnesslibrary/dental-treatments/how-much-do-dental-implants-cost/","strong incumbent","structure","page fix","dentistry/dental-implants/index.html","Add H2 ""Cost of full mouth dental implants with insurance"" with structured table and bulleted checklist immediately below primary guide header","L1 = vs. 2026-08-18 (7d ago)"
"cost of full mouth dental implants with insurance","https://theindustryguides.com/dentistry/dental-implants/","","Gemini 1.5 Flash","2026-08-25","","numbered_list","N","N","LLM used generic authority sources; missing concise on-page answer block for ""cost of full mouth dental implants with insurance""","Y","FILEPATH: dentistry/dental-implants/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""cost of full mouth dental implants with insurance"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""Cost of full mouth dental implants with insurance"" with structured table and bulleted checklist immediately below primary guide header","1","L1 = vs. 2026-08-18 (7d ago)","","strong incumbent","structure","page fix","dentistry/dental-implants/index.html","Add H2 ""Cost of full mouth dental implants with insurance"" with structured table and bulleted checklist immediately below primary guide header","L1 = vs. 2026-08-18 (7d ago)"
"dental bridge vs implant which is better","https://theindustryguides.com/dentistry/dental-bridge-vs-implant/","","OpenAI GPT-4o","2026-08-25","","numbered_list","N","N","LLM used generic authority sources; missing concise on-page answer block for ""dental bridge vs implant which is better""","Y","FILEPATH: dentistry/dental-bridge-vs-implant/index.html || CURRENT: Existing guide structured with direct answer checklist and provider handoff block || MISSING: Direct H2 addressing ""dental bridge vs implant which is better"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""Dental bridge vs implant which is better"" with structured table and bulleted checklist immediately below primary guide header","1","L3→L1 ↓ vs. 2026-08-18 (7d ago)","","strong incumbent","structure","page fix","dentistry/dental-bridge-vs-implant/index.html","Add H2 ""Dental bridge vs implant which is better"" with structured table and bulleted checklist immediately below primary guide header","L3→L1 ↓ vs. 2026-08-18 (7d ago)"
"dental bridge vs implant which is better","https://theindustryguides.com/dentistry/dental-bridge-vs-implant/","","Perplexity","2026-08-25","https://www.healthline.com/health/implant-vs-bridge, https://www.absolutedental.com/blog/dental-implants-vs-dental-bridges/, https://ballparkfamilydental.com/dental-bridge-vs-implant-choosing-the-best-option-for-a-missing-tooth/, https://chestnutdental.com/blog/bridges-vs-implants-which-is-the-best-choice-for-you, https://annerleydental.com.au/tooth-implant-vs-dental-bridge/","prose","N","N","LLM used generic authority sources; missing concise on-page answer block for ""dental bridge vs implant which is better""","Y","FILEPATH: dentistry/dental-bridge-vs-implant/index.html || CURRENT: Existing guide structured with direct answer checklist and provider handoff block || MISSING: Direct H2 addressing ""dental bridge vs implant which is better"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""Dental bridge vs implant which is better"" with structured table and bulleted checklist immediately below primary guide header","1","L3→L1 ↓ vs. 2026-08-18 (7d ago)","https://www.healthline.com/health/implant-vs-bridge, https://www.absolutedental.com/blog/dental-implants-vs-dental-bridges/, https://ballparkfamilydental.com/dental-bridge-vs-implant-choosing-the-best-option-for-a-missing-tooth/","strong incumbent","structure","page fix","dentistry/dental-bridge-vs-implant/index.html","Add H2 ""Dental bridge vs implant which is better"" with structured table and bulleted checklist immediately below primary guide header","L3→L1 ↓ vs. 2026-08-18 (7d ago)"
"dental bridge vs implant which is better","https://theindustryguides.com/dentistry/dental-bridge-vs-implant/","","Gemini 1.5 Flash","2026-08-25","","numbered_list","N","N","LLM used generic authority sources; missing concise on-page answer block for ""dental bridge vs implant which is better""","Y","FILEPATH: dentistry/dental-bridge-vs-implant/index.html || CURRENT: Existing guide structured with direct answer checklist and provider handoff block || MISSING: Direct H2 addressing ""dental bridge vs implant which is better"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""Dental bridge vs implant which is better"" with structured table and bulleted checklist immediately below primary guide header","1","L3→L1 ↓ vs. 2026-08-18 (7d ago)","","strong incumbent","structure","page fix","dentistry/dental-bridge-vs-implant/index.html","Add H2 ""Dental bridge vs implant which is better"" with structured table and bulleted checklist immediately below primary guide header","L3→L1 ↓ vs. 2026-08-18 (7d ago)"
"emergency dentist open now what to do first","https://theindustryguides.com/dentistry/emergency-dentistry/","","OpenAI GPT-4o","2026-08-25","","numbered_list","N","N","LLM used generic authority sources; missing concise on-page answer block for ""emergency dentist open now what to do first""","Y","FILEPATH: dentistry/emergency-dentistry/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""emergency dentist open now what to do first"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""Emergency dentist open now what to do first"" with structured table and bulleted checklist immediately below primary guide header","1","L1 = vs. 2026-08-18 (7d ago)","","strong incumbent","structure","page fix","dentistry/emergency-dentistry/index.html","Add H2 ""Emergency dentist open now what to do first"" with structured table and bulleted checklist immediately below primary guide header","L1 = vs. 2026-08-18 (7d ago)"
"emergency dentist open now what to do first","https://theindustryguides.com/dentistry/emergency-dentistry/","","Perplexity","2026-08-25","https://www.racinedentalgroup.com/dental-services/emergency-dentist, https://lrfamilydentalcare.com/emergency-dentistry.html, https://my.clevelandclinic.org/health/articles/11368--dental-emergencies-what-to-do, https://newsroom.tricare.mil/News/TRICARE-News/Article/4308160/what-to-do-in-a-dental-emergency, https://www.aspendental.com/dental-services/emergency-walk-in-dentist/","numbered_list","N","N","LLM used generic authority sources; missing concise on-page answer block for ""emergency dentist open now what to do first""","Y","FILEPATH: dentistry/emergency-dentistry/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""emergency dentist open now what to do first"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""Emergency dentist open now what to do first"" with structured table and bulleted checklist immediately below primary guide header","1","L1 = vs. 2026-08-18 (7d ago)","https://www.racinedentalgroup.com/dental-services/emergency-dentist, https://lrfamilydentalcare.com/emergency-dentistry.html, https://my.clevelandclinic.org/health/articles/11368--dental-emergencies-what-to-do","strong incumbent","structure","page fix","dentistry/emergency-dentistry/index.html","Add H2 ""Emergency dentist open now what to do first"" with structured table and bulleted checklist immediately below primary guide header","L1 = vs. 2026-08-18 (7d ago)"
"emergency dentist open now what to do first","https://theindustryguides.com/dentistry/emergency-dentistry/","","Gemini 1.5 Flash","2026-08-25","","numbered_list","N","N","LLM used generic authority sources; missing concise on-page answer block for ""emergency dentist open now what to do first""","Y","FILEPATH: dentistry/emergency-dentistry/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""emergency dentist open now what to do first"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""Emergency dentist open now what to do first"" with structured table and bulleted checklist immediately below primary guide header","1","L1 = vs. 2026-08-18 (7d ago)","","strong incumbent","structure","page fix","dentistry/emergency-dentistry/index.html","Add H2 ""Emergency dentist open now what to do first"" with structured table and bulleted checklist immediately below primary guide header","L1 = vs. 2026-08-18 (7d ago)"
"how do I choose a dentist?","https://theindustryguides.com/dentistry/choosing-a-dentist/","","OpenAI GPT-4o","2026-08-25","","numbered_list","N","N","LLM used generic authority sources; missing concise on-page answer block for ""how do I choose a dentist?""","Y","FILEPATH: dentistry/choosing-a-dentist/index.html || CURRENT: Existing guide structured with direct answer checklist and provider handoff block || MISSING: Direct H2 addressing ""how do I choose a dentist?"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""How do I choose a dentist?"" with structured table and bulleted checklist immediately below primary guide header","1","L3→L1 ↓ vs. 2026-08-18 (7d ago)","","strong incumbent","structure","page fix","dentistry/choosing-a-dentist/index.html","Add H2 ""How do I choose a dentist?"" with structured table and bulleted checklist immediately below primary guide header","L3→L1 ↓ vs. 2026-08-18 (7d ago)"
"how do I choose a dentist?","https://theindustryguides.com/dentistry/choosing-a-dentist/","","Perplexity","2026-08-25","https://www.humana.com/dental-insurance/dental-resources/how-to-choose-a-dentist, https://www.mouthhealthy.org/dental-care/how-to-choose-a-dentist, https://www.deltadental.com/protect-my-smile/visiting-the-dentist/choosing-a-dentist/, https://www.pecksmiles.com/articles/the-ultimate-guide-to-finding-the-best-dentist-in-your-area, https://angstadtfamilydental.com/news/general-news/preventative-care/six-factors-consider-choosing-dentist/","numbered_list","N","N","LLM used generic authority sources; missing concise on-page answer block for ""how do I choose a dentist?""","Y","FILEPATH: dentistry/choosing-a-dentist/index.html || CURRENT: Existing guide structured with direct answer checklist and provider handoff block || MISSING: Direct H2 addressing ""how do I choose a dentist?"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""How do I choose a dentist?"" with structured table and bulleted checklist immediately below primary guide header","1","L3→L1 ↓ vs. 2026-08-18 (7d ago)","https://www.humana.com/dental-insurance/dental-resources/how-to-choose-a-dentist, https://www.mouthhealthy.org/dental-care/how-to-choose-a-dentist, https://www.deltadental.com/protect-my-smile/visiting-the-dentist/choosing-a-dentist/","strong incumbent","structure","page fix","dentistry/choosing-a-dentist/index.html","Add H2 ""How do I choose a dentist?"" with structured table and bulleted checklist immediately below primary guide header","L3→L1 ↓ vs. 2026-08-18 (7d ago)"
"how do I choose a dentist?","https://theindustryguides.com/dentistry/choosing-a-dentist/","","Gemini 1.5 Flash","2026-08-25","","numbered_list","N","N","LLM used generic authority sources; missing concise on-page answer block for ""how do I choose a dentist?""","Y","FILEPATH: dentistry/choosing-a-dentist/index.html || CURRENT: Existing guide structured with direct answer checklist and provider handoff block || MISSING: Direct H2 addressing ""how do I choose a dentist?"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""How do I choose a dentist?"" with structured table and bulleted checklist immediately below primary guide header","1","L3→L1 ↓ vs. 2026-08-18 (7d ago)","","strong incumbent","structure","page fix","dentistry/choosing-a-dentist/index.html","Add H2 ""How do I choose a dentist?"" with structured table and bulleted checklist immediately below primary guide header","L3→L1 ↓ vs. 2026-08-18 (7d ago)"
"how do I find a dentist who is good with anxious patients","https://theindustryguides.com/dentistry/anxiety-trust/","","OpenAI GPT-4o","2026-08-25","","numbered_list","N","N","LLM used generic authority sources; missing concise on-page answer block for ""how do I find a dentist who is good with anxious patients""","Y","FILEPATH: dentistry/anxiety-trust/index.html || CURRENT: Existing guide structured with direct answer checklist and provider handoff block || MISSING: Direct H2 addressing ""how do I find a dentist who is good with anxious patients"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""How do I find a dentist who is good with anxious patients"" with structured table and bulleted checklist immediately below primary guide header","1","L3→L1 ↓ vs. 2026-08-18 (7d ago)","","strong incumbent","structure","page fix","dentistry/anxiety-trust/index.html","Add H2 ""How do I find a dentist who is good with anxious patients"" with structured table and bulleted checklist immediately below primary guide header","L3→L1 ↓ vs. 2026-08-18 (7d ago)"
"how do I find a dentist who is good with anxious patients","https://theindustryguides.com/dentistry/anxiety-trust/","","Perplexity","2026-08-25","https://amitydentistry.com/blog/dentist-for-dental-anxiety/, https://www.healthysmiles.com.au/5-tips-to-choose-the-dentist-for-anxious-patients/, https://saigoncenterdental.com/best-dentist-for-nervous-patients-near-me/, https://brightdent.com/sedation-dentistry-options-for-anxious-patients/, https://www.betterhealth.vic.gov.au/health/conditionsandtreatments/dental-anxiety-and-phobia","prose","N","N","LLM used generic authority sources; missing concise on-page answer block for ""how do I find a dentist who is good with anxious patients""","Y","FILEPATH: dentistry/anxiety-trust/index.html || CURRENT: Existing guide structured with direct answer checklist and provider handoff block || MISSING: Direct H2 addressing ""how do I find a dentist who is good with anxious patients"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""How do I find a dentist who is good with anxious patients"" with structured table and bulleted checklist immediately below primary guide header","1","L3→L1 ↓ vs. 2026-08-18 (7d ago)","https://amitydentistry.com/blog/dentist-for-dental-anxiety/, https://www.healthysmiles.com.au/5-tips-to-choose-the-dentist-for-anxious-patients/, https://saigoncenterdental.com/best-dentist-for-nervous-patients-near-me/","strong incumbent","structure","page fix","dentistry/anxiety-trust/index.html","Add H2 ""How do I find a dentist who is good with anxious patients"" with structured table and bulleted checklist immediately below primary guide header","L3→L1 ↓ vs. 2026-08-18 (7d ago)"
"how do I find a dentist who is good with anxious patients","https://theindustryguides.com/dentistry/anxiety-trust/","","Gemini 1.5 Flash","2026-08-25","","numbered_list","N","N","LLM used generic authority sources; missing concise on-page answer block for ""how do I find a dentist who is good with anxious patients""","Y","FILEPATH: dentistry/anxiety-trust/index.html || CURRENT: Existing guide structured with direct answer checklist and provider handoff block || MISSING: Direct H2 addressing ""how do I find a dentist who is good with anxious patients"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""How do I find a dentist who is good with anxious patients"" with structured table and bulleted checklist immediately below primary guide header","1","L3→L1 ↓ vs. 2026-08-18 (7d ago)","","strong incumbent","structure","page fix","dentistry/anxiety-trust/index.html","Add H2 ""How do I find a dentist who is good with anxious patients"" with structured table and bulleted checklist immediately below primary guide header","L3→L1 ↓ vs. 2026-08-18 (7d ago)"
"how do I find the best dentist near me?","https://theindustryguides.com/dentistry/best-top-near-me/","","OpenAI GPT-4o","2026-08-25","","numbered_list","N","N","LLM used generic authority sources; missing concise on-page answer block for ""how do I find the best dentist near me?""","Y","FILEPATH: dentistry/best-top-near-me/index.html || CURRENT: Existing guide structured with direct answer checklist and provider handoff block || MISSING: Direct H2 addressing ""how do I find the best dentist near me?"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""How do I find the best dentist near me?"" with structured table and bulleted checklist immediately below primary guide header","1","L3→L1 ↓ vs. 2026-08-18 (7d ago)","","strong incumbent","structure","page fix","dentistry/best-top-near-me/index.html","Add H2 ""How do I find the best dentist near me?"" with structured table and bulleted checklist immediately below primary guide header","L3→L1 ↓ vs. 2026-08-18 (7d ago)"
"how do I find the best dentist near me?","https://theindustryguides.com/dentistry/best-top-near-me/","","Perplexity","2026-08-25","https://www.zocdoc.com/dentists/wichita-242621pm, https://www.deltadental.com/member/find-a-dentist/kansas/wichita-dentists/, https://m.yelp.com/search?find_desc=Dentist+Reviews&find_loc=Wichita%2C+KS, https://www.smilegeneration.com/blog/ask-a-dentist/how-to-find-the-best-dentist-near-me, https://www.healthwatch.co.uk/advice-and-information/2025-08-22/how-can-you-find-nhs-dentist","numbered_list","N","N","LLM used generic authority sources; missing concise on-page answer block for ""how do I find the best dentist near me?""","Y","FILEPATH: dentistry/best-top-near-me/index.html || CURRENT: Existing guide structured with direct answer checklist and provider handoff block || MISSING: Direct H2 addressing ""how do I find the best dentist near me?"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""How do I find the best dentist near me?"" with structured table and bulleted checklist immediately below primary guide header","1","L3→L1 ↓ vs. 2026-08-18 (7d ago)","https://www.zocdoc.com/dentists/wichita-242621pm, https://www.deltadental.com/member/find-a-dentist/kansas/wichita-dentists/, https://m.yelp.com/search?find_desc=Dentist+Reviews&find_loc=Wichita%2C+KS","strong incumbent","structure","page fix","dentistry/best-top-near-me/index.html","Add H2 ""How do I find the best dentist near me?"" with structured table and bulleted checklist immediately below primary guide header","L3→L1 ↓ vs. 2026-08-18 (7d ago)"
"how do I find the best dentist near me?","https://theindustryguides.com/dentistry/best-top-near-me/","","Gemini 1.5 Flash","2026-08-25","","numbered_list","N","N","LLM used generic authority sources; missing concise on-page answer block for ""how do I find the best dentist near me?""","Y","FILEPATH: dentistry/best-top-near-me/index.html || CURRENT: Existing guide structured with direct answer checklist and provider handoff block || MISSING: Direct H2 addressing ""how do I find the best dentist near me?"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""How do I find the best dentist near me?"" with structured table and bulleted checklist immediately below primary guide header","1","L3→L1 ↓ vs. 2026-08-18 (7d ago)","","strong incumbent","structure","page fix","dentistry/best-top-near-me/index.html","Add H2 ""How do I find the best dentist near me?"" with structured table and bulleted checklist immediately below primary guide header","L3→L1 ↓ vs. 2026-08-18 (7d ago)"
